"",BBK01.OEAO04M,BBK01.OEAO04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:00,
2002-01,-0.471,
2002-04,-0.932,
2002-07,-0.283,
2002-10,0.109,
2003-01,0.151,
2003-04,-0.677,
2003-07,-0.288,
2003-10,-0.237,
2004-01,-0.170,
2004-04,-0.367,
2004-07,0.003,
2004-10,0.048,
2005-01,-0.366,
2005-04,-0.480,
2005-07,-0.589,
2005-10,-0.463,
2006-01,-0.301,
2006-04,-0.596,
2006-07,-0.835,
2006-10,-1.001,
2007-01,-1.050,
2007-04,-0.984,
2007-07,-1.159,
2007-10,-0.589,
2008-01,-1.009,
2008-04,-0.768,
2008-07,-1.170,
2008-10,0.648,
2009-01,0.349,
2009-04,0.117,
2009-07,0.107,
2009-10,-0.129,
2010-01,0.632,
2010-04,0.229,
2010-07,-0.129,
2010-10,0.269,
2011-01,0.503,
2011-04,-0.221,
2011-07,-0.269,
2011-10,-0.094,
2012-01,0.211,
2012-04,-0.384,
2012-07,-0.588,
2012-10,-0.368,
2013-01,0.270,
2013-04,-0.253,
2013-07,-0.328,
2013-10,-0.059,
2014-01,-0.117,
2014-04,-0.385,
2014-07,0.008,
