"",BBK01.OEHL03H,BBK01.OEHL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:40,
2002-01,5.994,
2002-04,5.820,
2002-07,5.779,
2002-10,5.638,
2003-01,5.515,
2003-04,5.382,
2003-07,5.118,
2003-10,4.773,
2004-01,4.523,
2004-04,4.172,
2004-07,3.967,
2004-10,3.779,
2005-01,3.713,
2005-04,3.615,
2005-07,3.530,
2005-10,3.473,
2006-01,3.508,
2006-04,3.614,
2006-07,3.743,
2006-10,3.949,
2007-01,4.158,
2007-04,4.476,
2007-07,4.833,
2007-10,5.310,
2008-01,5.861,
2008-04,6.403,
2008-07,7.030,
2008-10,8.357,
2009-01,6.431,
2009-04,4.559,
2009-07,3.635,
2009-10,3.350,
2010-01,2.837,
2010-04,2.639,
2010-07,2.499,
2010-10,2.499,
2011-01,2.141,
2011-04,1.853,
2011-07,1.928,
2011-10,2.034,
2012-01,1.964,
2012-04,1.771,
2012-07,1.566,
2012-10,1.447,
2013-01,1.390,
2013-04,1.341,
2013-07,1.298,
2013-10,1.225,
2014-01,1.172,
2014-04,1.085,
2014-07,0.998,
