"",BBK01.CEF30L,BBK01.CEF30L_FLAGS
"",Debt securities  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:47,
1999-01,26.6,
1999-04,26.8,
1999-07,26.1,
1999-10,23.9,
2000-01,24.0,
2000-04,23.6,
2000-07,23.0,
2000-10,22.4,
2001-01,22.6,
2001-04,23.0,
2001-07,22.5,
2001-10,20.5,
2002-01,21.7,
2002-04,21.4,
2002-07,22.0,
2002-10,20.9,
2003-01,22.1,
2003-04,23.2,
2003-07,23.4,
2003-10,20.1,
2004-01,20.3,
2004-04,20.6,
2004-07,20.3,
2004-10,21.5,
2005-01,19.9,
2005-04,20.6,
2005-07,21.1,
2005-10,21.6,
2006-01,22.3,
2006-04,22.1,
2006-07,24.5,
2006-10,24.0,
2007-01,24.7,
2007-04,25.6,
2007-07,25.9,
2007-10,25.2,
2008-01,25.5,
2008-04,26.5,
2008-07,27.7,
2008-10,27.1,
2009-01,25.8,
2009-04,27.1,
2009-07,28.6,
2009-10,28.1,
2010-01,29.6,
2010-04,29.0,
2010-07,30.0,
2010-10,29.4,
2011-01,31.3,
2011-04,32.4,
2011-07,31.9,
2011-10,33.5,
2012-01,37.5,
2012-04,38.6,
2012-07,41.3,
2012-10,42.8,
2013-01,21.6,
2013-04,20.5,
2013-07,22.0,
2013-10,23.1,
2014-01,24.3,
2014-04,26.0,
2014-07,27.9,
