"",BBK01.OEAE24I,BBK01.OEAE24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:27,
2002-01,0.255,
2002-04,0.236,
2002-07,0.242,
2002-10,0.203,
2003-01,0.196,
2003-04,0.234,
2003-07,0.214,
2003-10,0.187,
2004-01,0.155,
2004-04,0.165,
2004-07,0.147,
2004-10,0.141,
2005-01,0.133,
2005-04,0.131,
2005-07,0.145,
2005-10,0.130,
2006-01,0.223,
2006-04,0.220,
2006-07,0.213,
2006-10,0.205,
2007-01,0.212,
2007-04,0.196,
2007-07,0.181,
2007-10,0.174,
2008-01,0.169,
2008-04,0.177,
2008-07,0.179,
2008-10,0.216,
2009-01,0.200,
2009-04,0.231,
2009-07,0.276,
2009-10,0.264,
2010-01,0.209,
2010-04,0.221,
2010-07,0.246,
2010-10,0.353,
2011-01,0.255,
2011-04,0.257,
2011-07,0.251,
2011-10,0.272,
2012-01,0.271,
2012-04,0.236,
2012-07,0.238,
2012-10,0.212,
2013-01,0.227,
2013-04,0.704,
2013-07,0.714,
2013-10,0.643,
2014-01,0.358,
2014-04,0.287,
2014-07,0.270,
