"",BBK01.CEL90J,BBK01.CEL90J_FLAGS
"",Non-MMF investment fund shares debtor: Total                                   creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:51,
1999-01,10.0,
1999-04,9.2,
1999-07,8.1,
1999-10,8.4,
2000-01,16.9,
2000-04,14.2,
2000-07,11.4,
2000-10,9.4,
2001-01,13.5,
2001-04,7.4,
2001-07,3.0,
2001-10,11.3,
2002-01,12.4,
2002-04,5.6,
2002-07,5.1,
2002-10,3.8,
2003-01,11.0,
2003-04,8.5,
2003-07,1.5,
2003-10,0.1,
2004-01,5.4,
2004-04,1.0,
2004-07,2.2,
2004-10,-3.2,
2005-01,5.7,
2005-04,5.0,
2005-07,7.3,
2005-10,-1.1,
2006-01,1.9,
2006-04,-11.2,
2006-07,-3.3,
2006-10,-9.2,
2007-01,-13.3,
2007-04,-14.0,
2007-07,-4.7,
2007-10,-8.0,
2008-01,-11.2,
2008-04,1.1,
2008-07,-4.9,
2008-10,1.8,
2009-01,-3.0,
2009-04,0.6,
2009-07,3.4,
2009-10,3.8,
2010-01,2.5,
2010-04,8.2,
2010-07,-1.0,
2010-10,-1.1,
2011-01,-4.0,
2011-04,1.7,
2011-07,-7.7,
2011-10,-2.2,
2012-01,-4.4,
2012-04,-0.7,
2012-07,-2.2,
2012-10,3.3,
2013-01,5.5,
2013-04,3.6,
2013-07,0.9,
2013-10,0.3,
2014-01,5.0,
2014-04,7.1,
2014-07,6.6,
