"",BBSF2.M.1.P.00000.GEL01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.GEL01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Money market funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:09,
2009-09,1425,
2009-10,1514,
2009-11,1446,
2009-12,1360,
2010-01,1640,
2010-02,1547,
2010-03,1391,
2010-04,1468,
2010-05,1407,
2010-06,1412,
2010-07,1522,
2010-08,1411,
2010-09,1478,
2010-10,1471,
2010-11,1503,
2010-12,1880,
2011-01,1767,
2011-02,1883,
2011-03,2103,
2011-04,1871,
2011-05,1737,
2011-06,1767,
2011-07,460,
2011-08,444,
2011-09,505,
2011-10,575,
2011-11,537,
2011-12,490,
2012-01,389,
2012-02,373,
2012-03,342,
2012-04,416,
2012-05,365,
2012-06,419,
2012-07,360,
2012-08,329,
2012-09,297,
2012-10,292,
2012-11,284,
2012-12,289,
2013-01,289,
2013-02,253,
2013-03,308,
2013-04,322,
2013-05,296,
2013-06,323,
2013-07,308,
2013-08,304,
2013-09,314,
2013-10,297,
2013-11,252,
2013-12,277,
2014-01,304,
2014-02,290,
2014-03,267,
2014-04,276,
2014-05,269,
2014-06,262,
2014-07,292,
2014-08,231,
2014-09,252,
2014-10,237,
2014-11,210,
