"",BBK01.OEAB12Q,BBK01.OEAB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:09,
2002-01,15.272,
2002-04,15.599,
2002-07,15.739,
2002-10,16.574,
2003-01,16.735,
2003-04,17.512,
2003-07,17.679,
2003-10,18.389,
2004-01,18.747,
2004-04,15.360,
2004-07,15.187,
2004-10,16.177,
2005-01,16.092,
2005-04,15.962,
2005-07,15.741,
2005-10,16.024,
2006-01,16.917,
2006-04,17.976,
2006-07,18.164,
2006-10,19.345,
2007-01,21.187,
2007-04,21.136,
2007-07,21.366,
2007-10,21.145,
2008-01,17.439,
2008-04,16.918,
2008-07,17.273,
2008-10,17.377,
2009-01,17.188,
2009-04,16.933,
2009-07,18.464,
2009-10,22.263,
2010-01,22.745,
2010-04,23.150,
2010-07,20.439,
2010-10,20.443,
2011-01,20.518,
2011-04,20.185,
2011-07,16.563,
2011-10,16.450,
2012-01,16.368,
2012-04,17.008,
2012-07,17.172,
2012-10,20.843,
2013-01,20.536,
2013-04,19.503,
2013-07,19.221,
2013-10,23.699,
2014-01,23.300,
2014-04,23.303,
2014-07,23.630,
