"",BBK01.OEAH20R,BBK01.OEAH20R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:39,
2002-01,0.012,
2002-04,0.012,
2002-07,0.013,
2002-10,0.012,
2003-01,0.006,
2003-04,0.009,
2003-07,0.010,
2003-10,0.012,
2004-01,0.012,
2004-04,0.014,
2004-07,0.015,
2004-10,0.016,
2005-01,0.033,
2005-04,0.035,
2005-07,0.038,
2005-10,0.042,
2006-01,0.049,
2006-04,0.073,
2006-07,0.078,
2006-10,0.084,
2007-01,0.094,
2007-04,0.079,
2007-07,0.087,
2007-10,0.116,
2008-01,0.118,
2008-04,0.121,
2008-07,0.149,
2008-10,0.145,
2009-01,0.157,
2009-04,0.162,
2009-07,0.131,
2009-10,0.130,
2010-01,0.122,
2010-04,0.117,
2010-07,0.113,
2010-10,0.112,
2011-01,0.112,
2011-04,0.111,
2011-07,0.094,
2011-10,0.110,
2012-01,0.119,
2012-04,0.132,
2012-07,0.142,
2012-10,0.128,
2013-01,0.100,
2013-04,0.095,
2013-07,0.074,
2013-10,0.068,
2014-01,0.067,
2014-04,0.060,
2014-07,0.057,
