"",BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.F1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:04,
1991-01,68.598,
1991-04,65.898,
1991-07,41.185,
1991-10,44.411,
1992-01,28.622,
1992-04,37.063,
1992-07,0.166,
1992-10,-177.169,
1993-01,-85.183,
1993-04,-6.397,
1993-07,7.684,
1993-10,20.480,
1994-01,-25.073,
1994-04,40.530,
1994-07,58.286,
1994-10,55.415,
1995-01,51.609,
1995-04,132.253,
1995-07,9.166,
1995-10,106.452,
1996-01,84.630,
1996-04,26.826,
1996-07,-14.921,
1996-10,-8.019,
1997-01,35.198,
1997-04,75.013,
1997-07,-5.196,
1997-10,131.637,
1998-01,-1.445,
1998-04,39.106,
1998-07,30.684,
1998-10,-4.010,
1999-01,85.592,
1999-04,18.904,
1999-07,179.525,
1999-10,52.580,
2000-01,94.385,
2000-04,-23.140,
2000-07,33.382,
2000-10,-54.992,
2001-01,7.210,
2001-04,-27.704,
2001-07,-39.504,
2001-10,175.260,
2002-01,109.150,
2002-04,247.074,
2002-07,155.754,
2002-10,302.004,
2003-01,164.013,
2003-04,420.178,
2003-07,1584.711,
2003-10,707.604,
2004-01,1279.203,
2004-04,666.644,
2004-07,346.555,
2004-10,939.675,
2005-01,866.843,
2005-04,894.927,
2005-07,1368.543,
2005-10,1838.866,
2006-01,335.189,
2006-04,282.308,
2006-07,1233.186,
2006-10,425.475,
2007-01,63.592,
2007-04,1547.147,
2007-07,1261.062,
2007-10,991.346,
2008-01,2659.117,
2008-04,1985.114,
2008-07,1959.951,
2008-10,2626.963,
2009-01,2040.302,
2009-04,2181.239,
2009-07,1799.210,
2009-10,962.749,
2010-01,831.304,
2010-04,67.645,
2010-07,796.329,
2010-10,461.215,
2011-01,710.371,
2011-04,1252.751,
2011-07,-371.855,
2011-10,226.158,
2012-01,1463.388,
2012-04,-237.939,
2012-07,668.787,
2012-10,426.707,
2013-01,1112.896,
2013-04,1021.903,
2013-07,103.373,
2013-10,88.775,
2014-01,1534.840,Provisional value
2014-04,1539.868,Provisional value
2014-07,2349.849,Provisional value
2014-10,-41.684,Provisional value
