"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.NMFIS.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.NMFIS.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Non-MFIs (incl. General Government),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:42,
2009-09,351993,
2009-10,356180,
2009-11,361176,
2009-12,365672,
2010-01,376086,
2010-02,381046,
2010-03,387954,
2010-04,387887,
2010-05,393305,
2010-06,393177,
2010-07,396081,
2010-08,408558,
2010-09,408231,
2010-10,409150,
2010-11,403853,
2010-12,400802,
2011-01,395509,
2011-02,397467,
2011-03,393381,
2011-04,392036,
2011-05,396434,
2011-06,393460,
2011-07,399738,
2011-08,402809,
2011-09,403501,
2011-10,405059,
2011-11,398408,
2011-12,410962,
2012-01,412500,
2012-02,424732,
2012-03,428147,
2012-04,434057,
2012-05,444939,
2012-06,443775,
2012-07,457725,
2012-08,461998,
2012-09,465524,
2012-10,471063,
2012-11,481069,
2012-12,486434,
2013-01,484577,
2013-02,494868,
2013-03,503159,
2013-04,511370,
2013-05,508280,
2013-06,499443,
2013-07,507790,
2013-08,506457,
2013-09,510509,
2013-10,512069,
2013-11,517436,
2013-12,514883,
2014-01,528197,
2014-02,534704,
2014-03,545603,
2014-04,549917,
2014-05,561536,
2014-06,567205,
2014-07,573862,
2014-08,585178,
2014-09,588512,
2014-10,592959,
2014-11,606684,
