"",BBK01.OEAH06L,BBK01.OEAH06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:06,
2002-01,1.756,
2002-04,1.419,
2002-07,1.178,
2002-10,1.194,
2003-01,1.840,
2003-04,1.635,
2003-07,1.682,
2003-10,1.855,
2004-01,2.057,
2004-04,2.577,
2004-07,3.103,
2004-10,2.374,
2005-01,2.206,
2005-04,2.636,
2005-07,1.863,
2005-10,1.439,
2006-01,1.575,
2006-04,2.193,
2006-07,2.296,
2006-10,2.661,
2007-01,3.123,
2007-04,3.911,
2007-07,3.920,
2007-10,5.397,
2008-01,5.392,
2008-04,5.115,
2008-07,5.519,
2008-10,6.348,
2009-01,5.646,
2009-04,6.117,
2009-07,6.201,
2009-10,5.566,
2010-01,5.065,
2010-04,4.322,
2010-07,3.881,
2010-10,3.898,
2011-01,4.105,
2011-04,3.819,
2011-07,4.033,
2011-10,4.410,
2012-01,4.763,
2012-04,4.790,
2012-07,5.010,
2012-10,4.875,
2013-01,4.914,
2013-04,5.388,
2013-07,4.522,
2013-10,4.775,
2014-01,4.888,
2014-04,5.249,
2014-07,5.673,
