"",BBK01.OEAN02H,BBK01.OEAN02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:48,
2002-01,69.357,
2002-04,68.676,
2002-07,68.747,
2002-10,70.814,
2003-01,70.952,
2003-04,70.490,
2003-07,77.912,
2003-10,80.982,
2004-01,82.298,
2004-04,82.742,
2004-07,84.125,
2004-10,86.386,
2005-01,92.644,
2005-04,92.632,
2005-07,91.397,
2005-10,92.837,
2006-01,91.966,
2006-04,91.109,
2006-07,89.046,
2006-10,88.734,
2007-01,86.549,
2007-04,86.302,
2007-07,84.999,
2007-10,85.261,
2008-01,83.200,
2008-04,81.723,
2008-07,79.314,
2008-10,81.142,
2009-01,84.899,
2009-04,87.460,
2009-07,90.049,
2009-10,93.439,
2010-01,95.271,
2010-04,96.062,
2010-07,96.777,
2010-10,99.313,
2011-01,100.097,
2011-04,99.341,
2011-07,98.634,
2011-10,99.095,
2012-01,98.955,
2012-04,98.013,
2012-07,97.297,
2012-10,98.518,
2013-01,97.734,
2013-04,96.279,
2013-07,94.881,
2013-10,95.420,
2014-01,94.209,
2014-04,93.099,
2014-07,92.784,
