"",BBBP1.A.DE.N.GN.P010.X.X.Z5.0000.Z0Z.KP,BBBP1.A.DE.N.GN.P010.X.X.Z5.0000.Z0Z.KP_FLAGS
"",,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-30 12:31:49,
1968,2.91,
1969,3.10,
1970,3.52,
1971,3.32,
1972,3.30,
1973,3.52,comment
1974,3.67,
1975,3.58,
1976,3.38,
1977,3.32,
1978,3.20,
1979,3.10,
1980,3.29,
1981,3.68,
1982,3.75,
1983,3.66,
1984,3.40,
1985,3.24,comment
1986,3.13,
1987,3.04,
1988,2.96,
1989,2.97,
1990,2.95,
1991,3.04,
1992,3.08,
1993,3.16,
1994,3.15,
1995,3.04,
1996,2.91,
1997,2.76,
1998,2.56,
1999,2.49,
2000,2.45,
2001,2.41,
2002,2.49,
2003,2.51,
2004,2.51,
2005,2.46,
2006,2.30,
2007,2.15,
2008,2.06,
2009,2.23,
2010,2.33,
2011,2.30,
2012,2.21,
2013,2.25,Provisional value
