"",BBK01.OEAC50Q,BBK01.OEAC50Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:00,
2002-01,3.979,
2002-04,3.935,
2002-07,3.779,
2002-10,3.783,
2003-01,3.703,
2003-04,4.038,
2003-07,3.958,
2003-10,3.935,
2004-01,3.860,
2004-04,3.634,
2004-07,3.583,
2004-10,3.576,
2005-01,3.559,
2005-04,3.560,
2005-07,3.444,
2005-10,3.405,
2006-01,3.375,
2006-04,3.402,
2006-07,3.349,
2006-10,3.391,
2007-01,3.321,
2007-04,3.157,
2007-07,2.920,
2007-10,2.929,
2008-01,2.845,
2008-04,2.781,
2008-07,2.802,
2008-10,2.779,
2009-01,2.636,
2009-04,2.724,
2009-07,2.848,
2009-10,2.830,
2010-01,2.737,
2010-04,2.708,
2010-07,2.512,
2010-10,2.483,
2011-01,2.432,
2011-04,2.405,
2011-07,2.368,
2011-10,2.354,
2012-01,2.369,
2012-04,2.415,
2012-07,2.413,
2012-10,2.466,
2013-01,2.486,
2013-04,2.410,
2013-07,2.378,
2013-10,2.372,
2014-01,2.387,
2014-04,2.368,
2014-07,2.350,
