"",BBK01.CEF00M,BBK01.CEF00M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:36,
1999-01,109.6,
1999-04,113.8,
1999-07,115.9,
1999-10,119.7,
2000-01,120.3,
2000-04,121.6,
2000-07,120.6,
2000-10,120.8,
2001-01,122.5,
2001-04,122.9,
2001-07,122.4,
2001-10,122.8,
2002-01,120.0,
2002-04,118.2,
2002-07,115.8,
2002-10,114.6,
2003-01,116.8,
2003-04,118.9,
2003-07,119.0,
2003-10,119.1,
2004-01,120.4,
2004-04,121.3,
2004-07,121.7,
2004-10,123.6,
2005-01,122.7,
2005-04,121.0,
2005-07,120.3,
2005-10,118.4,
2006-01,126.4,
2006-04,126.2,
2006-07,128.6,
2006-10,130.1,
2007-01,131.4,
2007-04,136.5,
2007-07,135.8,
2007-10,134.8,
2008-01,134.4,
2008-04,134.5,
2008-07,127.7,
2008-10,125.5,
2009-01,125.8,
2009-04,126.7,
2009-07,128.5,
2009-10,128.2,
2010-01,131.5,
2010-04,135.2,
2010-07,137.0,
2010-10,135.8,
2011-01,136.8,
2011-04,139.0,
2011-07,136.7,
2011-10,137.6,
2012-01,147.8,
2012-04,149.3,
2012-07,153.6,
2012-10,153.7,
2013-01,155.6,
2013-04,154.8,
2013-07,156.5,
2013-10,155.9,
2014-01,159.5,
2014-04,162.6,
2014-07,163.5,
