"",BBEE1.M.DE.AAA.U20000.R.AACPB.M00,BBEE1.M.DE.AAA.U20000.R.AACPB.M00_FLAGS
"","Indicator of the German economy's price competitiveness against euro-area countries, based on consumer price indices",
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 14:45:02,
1972-01,104.7,
1972-02,105.3,
1972-03,104.7,
1972-04,104.7,
1972-05,104.4,
1972-06,104.0,
1972-07,104.5,
1972-08,103.9,
1972-09,104.2,
1972-10,103.3,
1972-11,103.6,
1972-12,103.9,
1973-01,103.9,
1973-02,104.7,
1973-03,107.3,
1973-04,108.2,
1973-05,108.1,
1973-06,112.9,
1973-07,118.6,
1973-08,116.9,
1973-09,115.7,
1973-10,115.1,
1973-11,112.8,
1973-12,113.1,
1974-01,112.3,
1974-02,113.7,
1974-03,113.9,
1974-04,115.3,
1974-05,115.9,
1974-06,113.9,
1974-07,110.3,
1974-08,108.3,
1974-09,106.3,
1974-10,107.4,
1974-11,108.5,
1974-12,108.1,
1975-01,108.2,
1975-02,107.5,
1975-03,106.7,
1975-04,104.8,
1975-05,104.0,
1975-06,103.9,
1975-07,103.2,
1975-08,101.2,
1975-09,101.3,
1975-10,101.9,
1975-11,101.0,
1975-12,100.0,
1976-01,100.2,
1976-02,103.9,
1976-03,106.5,
1976-04,108.3,
1976-05,106.1,
1976-06,105.6,
1976-07,105.4,
1976-08,106.6,
1976-09,106.7,
1976-10,108.0,
1976-11,107.9,
1976-12,108.0,
1977-01,107.7,
1977-02,106.8,
1977-03,107.0,
1977-04,106.8,
1977-05,106.5,
1977-06,106.0,
1977-07,108.6,
1977-08,107.5,
1977-09,107.3,
1977-10,107.9,
1977-11,108.4,
1977-12,110.5,
1978-01,109.7,
1978-02,111.5,
1978-03,111.5,
1978-04,110.1,
1978-05,108.4,
1978-06,107.9,
1978-07,106.6,
1978-08,106.6,
1978-09,106.4,
1978-10,108.8,
1978-11,108.1,
1978-12,108.5,
1979-01,108.2,
1979-02,107.9,
1979-03,107.5,
1979-04,106.7,
1979-05,106.2,
1979-06,106.4,
1979-07,106.7,
1979-08,106.0,
1979-09,105.8,
1979-10,105.8,
1979-11,105.9,
1979-12,105.5,
1980-01,103.7,
1980-02,103.5,
1980-03,102.7,
1980-04,101.9,
1980-05,102.5,
1980-06,101.8,
1980-07,101.0,
1980-08,100.1,
1980-09,99.7,
1980-10,98.8,
1980-11,98.1,
1980-12,98.0,
1981-01,97.4,
1981-02,97.0,
1981-03,98.6,
1981-04,98.6,
1981-05,98.2,
1981-06,97.6,
1981-07,97.2,
1981-08,96.8,
1981-09,97.1,
1981-10,99.3,
1981-11,99.3,
1981-12,98.9,
1982-01,98.6,
1982-02,98.2,
1982-03,99.4,
1982-04,99.7,
1982-05,99.9,
1982-06,101.3,
1982-07,102.0,
1982-08,101.5,
1982-09,101.5,
1982-10,101.9,
1982-11,102.1,
1982-12,103.2,
1983-01,102.5,
1983-02,101.9,
1983-03,103.1,
1983-04,103.9,
1983-05,103.7,
1983-06,103.4,
1983-07,103.4,
1983-08,103.2,
1983-09,103.3,
1983-10,103.6,
1983-11,102.5,
1983-12,102.3,
1984-01,101.5,
1984-02,102.0,
1984-03,101.8,
1984-04,101.0,
1984-05,100.4,
1984-06,100.3,
1984-07,99.6,
1984-08,99.1,
1984-09,98.7,
1984-10,98.9,
1984-11,98.7,
1984-12,97.9,
1985-01,97.5,
1985-02,97.3,
1985-03,97.5,
1985-04,97.5,
1985-05,97.0,
