"",BBK01.PQ0596,BBK01.PQ0596_FLAGS
"",Instalment credit to domestic employees and other individuals / Long-term / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:27:40,
1980-10,0.004,
1981-01,0.004,
1981-04,0.005,
1981-07,0.003,
1981-10,0.003,
1982-01,0.003,
1982-04,0.002,
1982-07,0.003,
1982-10,0.003,
1983-01,0.003,
1983-04,0.003,
1983-07,0.005,
1983-10,0.005,
1984-01,0.003,
1984-04,0.003,
1984-07,0.005,
1984-10,0.005,
1985-01,0.004,
1985-04,0.003,
1985-07,0.002,
1985-10,0.002,
1986-01,0.003,
1986-04,0.003,
1986-07,0.002,
1986-10,0.002,
1987-01,0.002,
1987-04,0.005,
1987-07,0.004,
1987-10,0.006,
1988-01,0.006,
1988-04,0.004,
1988-07,0.004,
1988-10,0.004,
1989-01,0.005,
1989-04,0.006,
1989-07,0.004,
1989-10,0.003,
1990-01,0.004,
1990-04,0.006,
1990-07,0.006,
1990-10,0.006,
1991-01,0.007,
1991-04,0.006,
1991-07,0.007,
1991-10,0.006,
1992-01,0.005,
1992-04,0.005,
1992-07,0.007,
1992-10,0.007,
1993-01,0.007,
1993-04,0.005,
1993-07,0.004,
1993-10,0.004,
1994-01,0.004,
1994-04,0.008,
1994-07,0.009,
1994-10,0.002,
1995-01,0.003,
1995-04,0.003,
1995-07,0.004,
1995-10,0.004,
1996-01,0.006,
1996-04,0.006,
1996-07,0.006,
1996-10,0.009,
1997-01,0.010,
1997-04,0.403,
1997-07,0.400,
1997-10,0.398,
1998-01,1.304,
1998-04,1.363,
1998-07,1.417,
1998-10,1.453,
1999-01,0.283,
1999-04,0.330,
1999-07,0.345,
1999-10,0.353,
2000-01,0.475,
2000-04,0.504,
2000-07,0.543,
2000-10,0.916,
2001-01,0.940,
2001-04,0.976,
2001-07,1.438,
2001-10,1.467,
2002-01,1.400,
2002-04,1.769,
2002-07,1.854,
2002-10,1.892,
2003-01,2.188,
2003-04,2.050,
2003-07,1.509,
2003-10,1.460,
2004-01,1.475,
2004-04,1.487,
2004-07,1.508,
2004-10,1.478,
2005-01,1.437,
2005-04,1.430,
2005-07,1.422,
2005-10,1.557,
2006-01,1.550,
2006-04,1.510,
2006-07,1.478,
2006-10,1.601,
2007-01,1.584,
2007-04,1.619,
2007-07,1.627,
2007-10,1.106,
2008-01,1.137,
2008-04,1.153,
2008-07,1.085,
2008-10,1.522,
2009-01,1.649,
2009-04,1.726,
2009-07,1.767,
2009-10,1.755,
2010-01,1.741,
2010-04,1.585,
2010-07,1.653,
2010-10,1.608,
2011-01,1.606,
2011-04,1.618,
2011-07,1.614,
2011-10,1.620,
2012-01,1.409,
2012-04,1.456,
2012-07,1.491,
2012-10,1.507,
2013-01,1.567,
2013-04,1.618,
2013-07,1.638,
2013-10,1.651,
2014-01,1.656,
2014-04,1.658,
2014-07,1.655,
2014-10,1.707,
