"",BBK01.OEXB20J,BBK01.OEXB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:25,
2002-01,0.782,
2002-04,0.788,
2002-07,0.797,
2002-10,0.804,
2003-01,0.814,
2003-04,0.828,
2003-07,0.840,
2003-10,0.848,
2004-01,0.864,
2004-04,0.869,
2004-07,0.885,
2004-10,0.833,
2005-01,0.834,
2005-04,0.849,
2005-07,0.908,
2005-10,0.916,
2006-01,0.913,
2006-04,0.917,
2006-07,0.959,
2006-10,0.992,
2007-01,0.991,
2007-04,0.994,
2007-07,0.992,
2007-10,0.986,
2008-01,0.977,
2008-04,1.021,
2008-07,1.016,
2008-10,1.004,
2009-01,1.017,
2009-04,1.016,
2009-07,0.994,
2009-10,0.985,
2010-01,0.976,
2010-04,0.969,
2010-07,0.977,
2010-10,0.970,
2011-01,0.978,
2011-04,0.971,
2011-07,0.976,
2011-10,0.977,
2012-01,0.978,
2012-04,0.982,
2012-07,0.967,
2012-10,0.961,
2013-01,0.961,
2013-04,0.963,
2013-07,0.965,
2013-10,0.962,
2014-01,0.972,
2014-04,0.976,
2014-07,0.992,
