"",BBK01.OEAF36T,BBK01.OEAF36T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:14,
2002-01,0.934,
2002-04,0.945,
2002-07,0.952,
2002-10,0.978,
2003-01,0.970,
2003-04,0.967,
2003-07,0.870,
2003-10,0.867,
2004-01,0.855,
2004-04,0.859,
2004-07,0.872,
2004-10,0.885,
2005-01,0.881,
2005-04,0.882,
2005-07,0.894,
2005-10,0.895,
2006-01,0.901,
2006-04,0.915,
2006-07,0.932,
2006-10,0.926,
2007-01,0.934,
2007-04,0.954,
2007-07,0.982,
2007-10,1.004,
2008-01,1.028,
2008-04,1.064,
2008-07,1.099,
2008-10,1.121,
2009-01,1.150,
2009-04,1.171,
2009-07,1.155,
2009-10,1.116,
2010-01,1.107,
2010-04,1.208,
2010-07,1.226,
2010-10,1.230,
2011-01,1.284,
2011-04,1.296,
2011-07,1.339,
2011-10,1.366,
2012-01,1.384,
2012-04,1.399,
2012-07,1.394,
2012-10,1.376,
2013-01,1.365,
2013-04,1.342,
2013-07,1.359,
2013-10,1.357,
2014-01,1.362,
2014-04,1.380,
2014-07,1.395,
