"",BBK01.OEAD12I,BBK01.OEAD12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:03,
2002-01,0.200,
2002-04,0.097,
2002-07,0.201,
2002-10,0.062,
2003-01,0.064,
2003-04,0.080,
2003-07,0.068,
2003-10,0.048,
2004-01,0.042,
2004-04,0.136,
2004-07,0.039,
2004-10,0.052,
2005-01,0.033,
2005-04,0.068,
2005-07,0.032,
2005-10,0.049,
2006-01,0.034,
2006-04,0.037,
2006-07,0.042,
2006-10,0.039,
2007-01,0.041,
2007-04,0.034,
2007-07,0.041,
2007-10,0.032,
2008-01,0.034,
2008-04,0.051,
2008-07,0.056,
2008-10,0.041,
2009-01,0.044,
2009-04,0.039,
2009-07,0.036,
2009-10,0.031,
2010-01,0.041,
2010-04,0.040,
2010-07,0.042,
2010-10,0.030,
2011-01,0.048,
2011-04,0.059,
2011-07,0.035,
2011-10,0.032,
2012-01,0.063,
2012-04,0.061,
2012-07,0.068,
2012-10,0.060,
2013-01,0.064,
2013-04,0.065,
2013-07,0.101,
2013-10,0.054,
2014-01,0.054,
2014-04,0.065,
2014-07,0.064,
