"",BBK01.OEYB05G,BBK01.OEYB05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:23,
2002-01,160.682,
2002-04,160.315,
2002-07,161.603,
2002-10,162.785,
2003-01,162.043,
2003-04,165.735,
2003-07,164.323,
2003-10,165.210,
2004-01,165.272,
2004-04,163.172,
2004-07,160.595,
2004-10,160.204,
2005-01,158.943,
2005-04,158.491,
2005-07,171.518,
2005-10,169.273,
2006-01,164.390,
2006-04,163.214,
2006-07,164.233,
2006-10,161.994,
2007-01,161.071,
2007-04,160.294,
2007-07,162.000,
2007-10,162.733,
2008-01,157.558,
2008-04,161.880,
2008-07,167.763,
2008-10,170.017,
2009-01,174.249,
2009-04,173.302,
2009-07,173.501,
2009-10,169.816,
2010-01,169.830,
2010-04,168.255,
2010-07,172.233,
2010-10,170.470,
2011-01,172.783,
2011-04,170.178,
2011-07,170.268,
2011-10,169.811,
2012-01,171.032,
2012-04,171.811,
2012-07,171.908,
2012-10,166.972,
2013-01,165.891,
2013-04,163.252,
2013-07,152.138,
2013-10,151.977,
2014-01,151.163,
2014-04,150.591,
2014-07,150.667,
