"",BBK01.OECB19Q,BBK01.OECB19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:32,
2002-01,0.090,
2002-04,0.087,
2002-07,0.085,
2002-10,0.084,
2003-01,0.077,
2003-04,0.082,
2003-07,0.085,
2003-10,0.081,
2004-01,0.078,
2004-04,0.075,
2004-07,0.073,
2004-10,0.094,
2005-01,0.110,
2005-04,0.111,
2005-07,0.116,
2005-10,0.111,
2006-01,0.109,
2006-04,0.113,
2006-07,0.110,
2006-10,0.110,
2007-01,0.108,
2007-04,0.102,
2007-07,0.099,
2007-10,0.095,
2008-01,0.085,
2008-04,0.083,
2008-07,0.083,
2008-10,0.081,
2009-01,0.078,
2009-04,0.081,
2009-07,0.077,
2009-10,0.070,
2010-01,0.072,
2010-04,0.082,
2010-07,0.104,
2010-10,0.104,
2011-01,0.105,
2011-04,0.110,
2011-07,0.122,
2011-10,0.127,
2012-01,0.135,
2012-04,0.134,
2012-07,0.135,
2012-10,0.135,
2013-01,0.137,
2013-04,0.132,
2013-07,0.121,
2013-10,0.117,
2014-01,0.113,
2014-04,0.110,
2014-07,0.104,
