"",BBFN1.M.DE.N.1.A.CH.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Switzerland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:00,
1994-12,7.286,
1995-01,7.701,
1995-02,7.314,
1995-03,7.283,
1995-04,7.329,
1995-05,7.353,
1995-06,7.266,
1995-07,7.572,
1995-08,7.626,
1995-09,7.662,
1995-10,7.140,
1995-11,7.104,
1995-12,6.820,
1996-01,7.346,
1996-02,7.204,
1996-03,7.869,
1996-04,7.330,
1996-05,7.172,
1996-06,7.212,
1996-07,6.748,
1996-08,6.282,
1996-09,6.560,
1996-10,6.774,
1996-11,6.594,
1996-12,6.319,
1997-01,6.898,
1997-02,7.214,
1997-03,7.594,
1997-04,7.450,
1997-05,7.174,
1997-06,7.502,
1997-07,7.581,
1997-08,7.743,
1997-09,7.758,
1997-10,8.022,
1997-11,8.024,
1997-12,7.376,
1998-01,7.605,
1998-02,7.583,
1998-03,7.741,
1998-04,8.392,
1998-05,8.635,
1998-06,8.097,
1998-07,8.571,
1998-08,8.595,
1998-09,8.574,
1998-10,8.850,
1998-11,9.019,
1998-12,9.658,
1999-01,9.602,
1999-02,9.810,
1999-03,10.491,
1999-04,10.648,
1999-05,10.585,
1999-06,10.693,
1999-07,11.093,
1999-08,11.201,
1999-09,11.153,
1999-10,11.224,
1999-11,11.126,
1999-12,11.189,
2000-01,11.694,
2000-02,11.863,
2000-03,12.245,
2000-04,11.485,
2000-05,10.876,
2000-06,11.487,
2000-07,11.110,
2000-08,11.913,
2000-09,12.352,
2000-10,12.680,
2000-11,12.412,
2000-12,11.607,
2001-01,11.978,
2001-02,11.893,
2001-03,12.036,
2001-04,12.093,
2001-05,12.109,
2001-06,12.239,
2001-07,11.910,
2001-08,11.978,
2001-09,12.343,
2001-10,13.172,
2001-11,13.765,
2001-12,13.551,
2002-01,12.586,
2002-02,12.228,
2002-03,11.827,
2002-04,12.415,
2002-05,12.568,
2002-06,12.811,
2002-07,12.689,
2002-08,12.959,
2002-09,12.993,
2002-10,13.636,
2002-11,13.313,
2002-12,13.170,
2003-01,14.049,
2003-02,13.454,
2003-03,14.833,
2003-04,15.012,
2003-05,14.552,
2003-06,14.885,
2003-07,14.313,
2003-08,13.523,
2003-09,14.051,
2003-10,14.300,
2003-11,15.004,
2003-12,14.469,
2004-01,14.827,
2004-02,14.801,
2004-03,15.602,
2004-04,15.292,
2004-05,15.101,
2004-06,15.794,
2004-07,15.882,
2004-08,15.806,
2004-09,16.256,
2004-10,15.938,
2004-11,16.126,
2004-12,14.854,
2005-01,15.137,
2005-02,14.616,
2005-03,15.004,
2005-04,15.228,
2005-05,15.548,
2005-06,15.916,
2005-07,15.636,
2005-08,15.609,
2005-09,16.447,
2005-10,17.491,
2005-11,18.977,
2005-12,18.504,
2006-01,18.289,
2006-02,16.989,
2006-03,16.609,
2006-04,17.329,
2006-05,17.059,
2006-06,16.238,
2006-07,17.244,
2006-08,16.889,
2006-09,17.734,
2006-10,18.829,
2006-11,18.631,
2006-12,18.309,
2007-01,18.679,
2007-02,18.451,
2007-03,19.919,
2007-04,18.981,
2007-05,19.083,
2007-06,18.087,
2007-07,18.131,
2007-08,17.984,
2007-09,18.943,
2007-10,19.422,
2007-11,19.162,
2007-12,19.019,
2008-01,19.386,
2008-02,18.959,
2008-03,18.837,
2008-04,19.138,
2008-05,19.533,
2008-06,19.415,
2008-07,20.082,
2008-08,19.100,
2008-09,19.354,
2008-10,20.042,
2008-11,20.164,
2008-12,19.155,
2009-01,17.837,
2009-02,18.479,
2009-03,18.481,
2009-04,19.571,
2009-05,20.009,
2009-06,20.420,
2009-07,19.671,
2009-08,19.096,
2009-09,19.880,
2009-10,19.792,
2009-11,20.763,
2009-12,20.112,
2010-01,20.320,
2010-02,20.831,
2010-03,21.411,
2010-04,21.827,
2010-05,21.416,
2010-06,23.234,
2010-07,22.569,
2010-08,22.303,
2010-09,23.029,
2010-10,23.714,
2010-11,23.995,
2010-12,23.923,
2011-01,23.692,
2011-02,22.523,
2011-03,23.686,
2011-04,23.631,
2011-05,24.197,
2011-06,24.103,
2011-07,24.137,
2011-08,28.230,
2011-09,31.031,
2011-10,32.318,
2011-11,31.304,
2011-12,27.360,
2012-01,27.017,
2012-02,28.633,
2012-03,30.927,
2012-04,30.852,
2012-05,32.516,
2012-06,34.549,
2012-07,34.629,
2012-08,35.799,
2012-09,36.033,
2012-10,34.661,
2012-11,34.951,
2012-12,32.120,
2013-01,33.928,
2013-02,34.618,
2013-03,34.249,
2013-04,36.551,
2013-05,35.939,
2013-06,33.851,
2013-07,32.745,
2013-08,24.399,
2013-09,25.610,
2013-10,23.708,
2013-11,24.149,
2013-12,24.735,
2014-01,24.281,
2014-02,24.739,
2014-03,24.604,
2014-04,27.403,
2014-05,27.072,
2014-06,27.396,
2014-07,27.282,
2014-08,27.258,
2014-09,27.566,
2014-10,27.828,
2014-11,27.788,
2014-12,25.160,
