"",BBK01.OEXL08R,BBK01.OEXL08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:37,
2002-01,0.342,
2002-04,0.331,
2002-07,0.315,
2002-10,0.337,
2003-01,0.362,
2003-04,0.368,
2003-07,0.377,
2003-10,0.376,
2004-01,0.367,
2004-04,0.364,
2004-07,0.359,
2004-10,0.251,
2005-01,0.256,
2005-04,0.260,
2005-07,0.268,
2005-10,0.283,
2006-01,0.286,
2006-04,0.273,
2006-07,0.264,
2006-10,0.264,
2007-01,0.268,
2007-04,0.269,
2007-07,0.273,
2007-10,0.285,
2008-01,0.300,
2008-04,0.299,
2008-07,0.301,
2008-10,0.293,
2009-01,0.298,
2009-04,0.294,
2009-07,0.313,
2009-10,0.337,
2010-01,0.357,
2010-04,0.354,
2010-07,0.351,
2010-10,0.350,
2011-01,0.350,
2011-04,0.342,
2011-07,0.323,
2011-10,0.332,
2012-01,0.335,
2012-04,0.336,
2012-07,0.342,
2012-10,0.362,
2013-01,0.366,
2013-04,0.365,
2013-07,0.373,
2013-10,0.381,
2014-01,0.380,
2014-04,0.375,
2014-07,0.367,
