"",BBK01.OEAC10M,BBK01.OEAC10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:35,
2002-01,35.416,
2002-04,35.450,
2002-07,35.713,
2002-10,35.762,
2003-01,35.556,
2003-04,35.150,
2003-07,40.817,
2003-10,40.660,
2004-01,40.772,
2004-04,40.539,
2004-07,41.302,
2004-10,40.549,
2005-01,39.627,
2005-04,39.346,
2005-07,38.777,
2005-10,39.445,
2006-01,38.485,
2006-04,37.356,
2006-07,36.313,
2006-10,36.063,
2007-01,35.728,
2007-04,35.873,
2007-07,35.965,
2007-10,36.121,
2008-01,35.475,
2008-04,35.481,
2008-07,36.155,
2008-10,36.096,
2009-01,35.579,
2009-04,36.369,
2009-07,36.373,
2009-10,36.699,
2010-01,33.864,
2010-04,32.114,
2010-07,39.820,
2010-10,39.150,
2011-01,38.319,
2011-04,38.542,
2011-07,38.463,
2011-10,38.812,
2012-01,38.855,
2012-04,39.298,
2012-07,39.057,
2012-10,38.591,
2013-01,39.253,
2013-04,37.760,
2013-07,37.317,
2013-10,37.271,
2014-01,37.147,
2014-04,36.831,
2014-07,37.104,
