"",BBK01.RU2717,BBK01.RU2717_FLAGS
"","Banks in Germany: Liabilities to non-residents, total / Canada / All currencies",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:18:49,
1982-06,0.384,
1982-07,0.404,
1982-08,0.609,
1982-09,0.572,
1982-10,0.406,
1982-11,0.415,
1982-12,0.480,
1983-01,0.413,
1983-02,0.438,
1983-03,0.423,
1983-04,0.450,
1983-05,0.528,
1983-06,0.445,
1983-07,0.369,
1983-08,0.441,
1983-09,0.516,
1983-10,0.500,
1983-11,0.484,
1983-12,0.432,
1984-01,0.471,
1984-02,0.449,
1984-03,0.556,
1984-04,0.487,
1984-05,0.465,
1984-06,0.617,
1984-07,0.472,
1984-08,0.526,
1984-09,0.561,
1984-10,0.547,
1984-11,0.543,
1984-12,0.427,
1985-01,0.472,
1985-02,0.563,
1985-03,0.493,
1985-04,0.576,
1985-05,0.732,
1985-06,0.476,
1985-07,0.419,
1985-08,0.407,
1985-09,0.423,
1985-10,0.427,
1985-11,0.507,
1985-12,0.414,
1986-01,0.397,
1986-02,0.491,
1986-03,0.431,
1986-04,0.430,
1986-05,0.425,
1986-06,0.458,
1986-07,0.376,
1986-08,0.387,
1986-09,0.457,
1986-10,0.397,
1986-11,0.470,
1986-12,0.399,
1987-01,0.469,
1987-02,0.433,
1987-03,0.556,
1987-04,0.619,
1987-05,0.609,
1987-06,0.474,
1987-07,0.411,
1987-08,0.457,
1987-09,0.416,
1987-10,0.538,
1987-11,0.446,
1987-12,0.417,
1988-01,0.398,
1988-02,0.489,
1988-03,0.439,
1988-04,0.436,
1988-05,0.480,
1988-06,0.440,
1988-07,0.627,
1988-08,0.643,
1988-09,0.613,
1988-10,0.699,
1988-11,0.622,
1988-12,0.382,
1989-01,0.433,
1989-02,0.536,
1989-03,0.399,
1989-04,0.667,
1989-05,0.451,
1989-06,0.477,
1989-07,0.431,
1989-08,0.437,
1989-09,0.471,
1989-10,0.489,
1989-11,0.604,
1989-12,0.645,
1990-01,0.506,
1990-02,0.557,
1990-03,0.496,
1990-04,0.555,
1990-05,0.448,
1990-06,0.495,
1990-07,0.525,
1990-08,0.560,
1990-09,0.851,
1990-10,0.482,
1990-11,0.499,
1990-12,0.537,
1991-01,0.483,
1991-02,0.516,
1991-03,0.698,
1991-04,0.576,
1991-05,0.575,
1991-06,0.554,
1991-07,0.605,
1991-08,0.785,
1991-09,0.552,
1991-10,0.509,
1991-11,0.564,
1991-12,0.456,
1992-01,0.449,
1992-02,0.483,
1992-03,0.446,
1992-04,0.541,
1992-05,0.506,
1992-06,0.547,
1992-07,0.539,
1992-08,0.573,
1992-09,0.644,
1992-10,0.513,
1992-11,0.519,
1992-12,0.506,
1993-01,0.562,
1993-02,0.739,
1993-03,0.659,
1993-04,0.697,
1993-05,0.546,
1993-06,0.570,
1993-07,0.654,
1993-08,0.485,
1993-09,0.488,
1993-10,0.550,
1993-11,0.506,
1993-12,0.460,
1994-01,0.567,
1994-02,0.574,
1994-03,0.498,
1994-04,0.560,
1994-05,0.643,
1994-06,0.654,
1994-07,0.688,
1994-08,0.675,
1994-09,0.775,
1994-10,0.781,
1994-11,0.603,
1994-12,0.646,
1995-01,0.783,
1995-02,0.717,
1995-03,0.829,
1995-04,0.942,
1995-05,1.012,
1995-06,1.056,
1995-07,0.849,
1995-08,0.812,
1995-09,0.934,
1995-10,1.124,
1995-11,0.938,
1995-12,0.765,
1996-01,0.732,
1996-02,0.750,
1996-03,0.700,
1996-04,0.721,
1996-05,0.667,
1996-06,0.874,
1996-07,0.759,
1996-08,0.842,
1996-09,1.216,
1996-10,1.365,
1996-11,1.365,
1996-12,0.943,
1997-01,1.106,
1997-02,1.118,
1997-03,1.421,
1997-04,1.587,
1997-05,1.716,
1997-06,1.145,
1997-07,1.486,
1997-08,1.559,
1997-09,1.257,
1997-10,1.044,
1997-11,1.022,
1997-12,1.172,
1998-01,1.199,
1998-02,1.421,
1998-03,1.093,
1998-04,0.873,
1998-05,1.068,
1998-06,1.315,
1998-07,1.147,
1998-08,1.273,
1998-09,0.714,
1998-10,0.585,
1998-11,0.681,
1998-12,0.781,
1999-01,0.787,
1999-02,0.900,
1999-03,0.848,
1999-04,0.976,
1999-05,0.919,
1999-06,1.048,
1999-07,1.189,
1999-08,0.832,
1999-09,0.859,
1999-10,0.948,
1999-11,0.984,
1999-12,0.982,
2000-01,0.982,
2000-02,1.234,
2000-03,0.999,
2000-04,1.221,
2000-05,1.200,
2000-06,0.929,
2000-07,1.158,
2000-08,0.976,
2000-09,1.251,
2000-10,1.324,
2000-11,1.158,
2000-12,1.206,
2001-01,1.163,
2001-02,1.319,
2001-03,0.854,
2001-04,0.954,
2001-05,1.098,
2001-06,1.157,
2001-07,1.409,
2001-08,1.118,
2001-09,1.111,
2001-10,1.100,
2001-11,1.196,
2001-12,1.473,
2002-01,1.482,
2002-02,1.862,
2002-03,1.718,
2002-04,1.267,
2002-05,1.179,
2002-06,1.143,
2002-07,1.229,
2002-08,1.119,
2002-09,1.229,
2002-10,1.239,
2002-11,1.344,
2002-12,1.372,
2003-01,1.429,
2003-02,1.264,
2003-03,1.204,
2003-04,1.494,
2003-05,1.465,
2003-06,1.483,
2003-07,1.792,
2003-08,1.959,
2003-09,2.340,
2003-10,2.255,
2003-11,1.750,
2003-12,1.878,
2004-01,2.194,
2004-02,1.784,
2004-03,2.279,
2004-04,3.136,
2004-05,2.760,
2004-06,2.191,
2004-07,1.862,
2004-08,1.781,
2004-09,1.411,
2004-10,1.705,
2004-11,1.272,
2004-12,1.251,
2005-01,1.688,
2005-02,1.950,
2005-03,2.241,
2005-04,1.974,
2005-05,2.345,
2005-06,1.691,
2005-07,1.817,
2005-08,1.311,
2005-09,1.421,
2005-10,2.250,
2005-11,1.459,
2005-12,1.516,
2006-01,1.219,
2006-02,1.451,
2006-03,1.398,
2006-04,2.188,
2006-05,1.696,
2006-06,1.505,
2006-07,1.288,
2006-08,2.001,
2006-09,1.232,
2006-10,1.520,
2006-11,1.451,
2006-12,1.650,
2007-01,1.812,
2007-02,1.926,
2007-03,1.396,
2007-04,1.507,
2007-05,1.567,
2007-06,1.742,
2007-07,1.624,
2007-08,1.258,
2007-09,2.258,
2007-10,1.675,
2007-11,1.436,
2007-12,1.613,
2008-01,1.269,
2008-02,1.410,
2008-03,1.365,
2008-04,2.048,
2008-05,1.848,
2008-06,1.589,
2008-07,1.467,
2008-08,1.356,
2008-09,1.676,
2008-10,1.252,
2008-11,1.258,
2008-12,1.490,
2009-01,1.623,
2009-02,2.153,
2009-03,1.803,
2009-04,1.874,
2009-05,2.232,
2009-06,1.958,
2009-07,1.543,
2009-08,1.598,
2009-09,1.593,
2009-10,1.347,
2009-11,1.352,
2009-12,1.270,
2010-01,1.745,
2010-02,1.371,
2010-03,1.806,
2010-04,2.932,
2010-05,2.722,
2010-06,2.827,
2010-07,2.625,
2010-08,2.456,
2010-09,2.985,
2010-10,3.201,
2010-11,3.825,
2010-12,3.763,
2011-01,3.550,
2011-02,3.537,
2011-03,3.480,
2011-04,4.184,
2011-05,4.349,
2011-06,3.709,
2011-07,4.168,
2011-08,3.738,
2011-09,3.503,
2011-10,4.030,
2011-11,3.555,
2011-12,3.933,
2012-01,4.341,
2012-02,4.189,
2012-03,4.325,
2012-04,4.106,
2012-05,3.790,
2012-06,3.934,
2012-07,4.712,
2012-08,4.277,
2012-09,4.124,
2012-10,4.039,
2012-11,4.209,
2012-12,3.516,
2013-01,3.586,
2013-02,3.565,
2013-03,3.778,
2013-04,3.081,
2013-05,3.054,
2013-06,2.184,
2013-07,2.150,
2013-08,1.984,
2013-09,2.309,
2013-10,2.264,
2013-11,1.484,
2013-12,1.304,
2014-01,1.331,
2014-02,1.306,
2014-03,1.077,
2014-04,1.334,
2014-05,1.508,
2014-06,1.478,
2014-07,1.605,
2014-08,1.500,
2014-09,1.255,
2014-10,1.282,
2014-11,1.288,
2014-12,1.029,
