"",BBK01.OEAE13R,BBK01.OEAE13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:37,
2002-01,0.217,
2002-04,0.226,
2002-07,0.239,
2002-10,0.253,
2003-01,0.209,
2003-04,0.213,
2003-07,0.215,
2003-10,0.213,
2004-01,0.217,
2004-04,0.248,
2004-07,0.257,
2004-10,0.256,
2005-01,0.232,
2005-04,0.233,
2005-07,0.250,
2005-10,0.220,
2006-01,0.180,
2006-04,0.160,
2006-07,0.164,
2006-10,0.173,
2007-01,0.171,
2007-04,0.181,
2007-07,0.197,
2007-10,0.196,
2008-01,0.181,
2008-04,0.172,
2008-07,0.164,
2008-10,0.173,
2009-01,0.046,
2009-04,0.077,
2009-07,0.085,
2009-10,0.087,
2010-01,0.089,
2010-04,0.089,
2010-07,0.088,
2010-10,0.071,
2011-01,0.064,
2011-04,0.065,
2011-07,0.059,
2011-10,0.060,
2012-01,0.050,
2012-04,0.048,
2012-07,0.051,
2012-10,0.056,
2013-01,0.049,
2013-04,0.049,
2013-07,0.047,
2013-10,0.059,
2014-01,0.058,
2014-04,0.053,
2014-07,0.058,
