"",BBK01.OEXI03N,BBK01.OEXI03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:43,
2002-01,33.406,
2002-04,32.906,
2002-07,32.872,
2002-10,33.065,
2003-01,31.749,
2003-04,31.535,
2003-07,30.033,
2003-10,29.772,
2004-01,27.955,
2004-04,26.492,
2004-07,26.238,
2004-10,10.859,
2005-01,10.982,
2005-04,11.677,
2005-07,11.720,
2005-10,11.110,
2006-01,11.075,
2006-04,12.976,
2006-07,13.917,
2006-10,14.727,
2007-01,15.532,
2007-04,16.306,
2007-07,19.589,
2007-10,19.769,
2008-01,21.055,
2008-04,22.485,
2008-07,23.486,
2008-10,26.463,
2009-01,24.765,
2009-04,24.084,
2009-07,25.837,
2009-10,26.345,
2010-01,29.871,
2010-04,29.892,
2010-07,28.918,
2010-10,31.573,
2011-01,31.602,
2011-04,31.812,
2011-07,32.360,
2011-10,31.560,
2012-01,30.445,
2012-04,29.767,
2012-07,27.471,
2012-10,32.731,
2013-01,34.671,
2013-04,32.646,
2013-07,32.086,
2013-10,33.089,
2014-01,34.136,
2014-04,33.020,
2014-07,34.529,
