"",BBDE1.M.DE.Y.GUD1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.GUD1.A2P300000.F.V.I10.A_FLAGS
"","Turnover from abroad, Euro-area countries / At current prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:56,
2003-01,84.2,
2003-02,81.4,
2003-03,83.7,
2003-04,83.6,
2003-05,78.2,
2003-06,76.9,
2003-07,81.7,
2003-08,79.7,
2003-09,79.8,
2003-10,81.0,
2003-11,83.7,
2003-12,85.7,
2004-01,83.2,
2004-02,86.5,
2004-03,83.4,
2004-04,86.5,
2004-05,89.1,
2004-06,90.5,
2004-07,90.3,
2004-08,90.2,
2004-09,90.5,
2004-10,91.4,
2004-11,90.1,
2004-12,91.6,
2005-01,90.9,
2005-02,90.7,
2005-03,93.6,
2005-04,91.6,
2005-05,91.3,
2005-06,93.1,
2005-07,93.0,
2005-08,91.8,
2005-09,96.5,
2005-10,95.6,
2005-11,97.8,
2005-12,96.5,
2006-01,97.1,
2006-02,99.3,
2006-03,99.1,
2006-04,100.3,
2006-05,102.1,
2006-06,102.2,
2006-07,102.4,
2006-08,104.8,
2006-09,104.4,
2006-10,106.3,
2006-11,106.5,
2006-12,103.4,
2007-01,110.5,
2007-02,110.3,
2007-03,111.3,
2007-04,111.5,
2007-05,111.6,
2007-06,112.2,
2007-07,113.0,
2007-08,113.2,
2007-09,114.6,
2007-10,115.1,
2007-11,115.6,
2007-12,116.6,
2008-01,117.0,
2008-02,116.5,
2008-03,115.3,
2008-04,119.0,
2008-05,115.2,
2008-06,112.2,
2008-07,113.6,
2008-08,115.2,
2008-09,113.0,
2008-10,111.0,
2008-11,103.4,
2008-12,97.5,
2009-01,90.0,
2009-02,86.0,
2009-03,89.4,
2009-04,84.5,
2009-05,85.6,
2009-06,88.3,
2009-07,86.5,
2009-08,87.9,
2009-09,94.3,
2009-10,90.9,
2009-11,91.2,
2009-12,93.7,
2010-01,94.3,
2010-02,93.3,
2010-03,94.3,
2010-04,96.6,
2010-05,99.3,
2010-06,99.9,
2010-07,97.7,
2010-08,101.3,
2010-09,101.7,
2010-10,104.9,
2010-11,104.6,
2010-12,105.7,
2011-01,106.4,
2011-02,107.3,
2011-03,109.9,
2011-04,108.1,
2011-05,108.2,
2011-06,107.5,
2011-07,109.8,
2011-08,109.2,
2011-09,108.8,
2011-10,107.3,
2011-11,106.2,
2011-12,103.5,
2012-01,105.2,
2012-02,105.6,
2012-03,103.8,
2012-04,103.6,
2012-05,105.0,
2012-06,102.9,
2012-07,103.9,
2012-08,105.7,
2012-09,100.2,
2012-10,100.6,
2012-11,100.4,
2012-12,99.9,
2013-01,100.5,
2013-02,100.3,
2013-03,101.0,
2013-04,100.2,
2013-05,101.0,
2013-06,100.5,
2013-07,99.5,
2013-08,102.1,
2013-09,101.3,
2013-10,101.7,
2013-11,104.6,
2013-12,106.2,
2014-01,103.6,
2014-02,104.4,
2014-03,104.2,
2014-04,105.9,
2014-05,104.0,
2014-06,104.0,
2014-07,106.3,
2014-08,106.5,
2014-09,105.3,
2014-10,108.1,
2014-11,105.8,
2014-12,110.5,Provisional value
