"",BBK01.OEAD22O,BBK01.OEAD22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:48,
2002-01,0.160,
2002-04,0.074,
2002-07,0.084,
2002-10,0.084,
2003-01,0.087,
2003-04,0.102,
2003-07,0.103,
2003-10,0.111,
2004-01,0.100,
2004-04,0.045,
2004-07,0.048,
2004-10,0.044,
2005-01,0.046,
2005-04,0.063,
2005-07,0.052,
2005-10,0.073,
2006-01,0.080,
2006-04,0.062,
2006-07,0.055,
2006-10,0.057,
2007-01,0.116,
2007-04,0.122,
2007-07,0.113,
2007-10,0.086,
2008-01,0.074,
2008-04,0.062,
2008-07,0.054,
2008-10,0.031,
2009-01,0.043,
2009-04,0.047,
2009-07,0.057,
2009-10,0.055,
2010-01,0.057,
2010-04,0.066,
2010-07,0.068,
2010-10,0.057,
2011-01,0.062,
2011-04,0.054,
2011-07,0.051,
2011-10,0.066,
2012-01,0.073,
2012-04,0.075,
2012-07,0.081,
2012-10,0.074,
2013-01,0.076,
2013-04,0.078,
2013-07,0.088,
2013-10,0.085,
2014-01,0.074,
2014-04,0.080,
2014-07,0.074,
