"",BBK01.OEAC51M,BBK01.OEAC51M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:05,
2002-01,4.888,
2002-04,4.925,
2002-07,4.910,
2002-10,4.875,
2003-01,4.893,
2003-04,5.050,
2003-07,5.157,
2003-10,5.163,
2004-01,5.159,
2004-04,5.195,
2004-07,5.243,
2004-10,5.266,
2005-01,5.184,
2005-04,5.240,
2005-07,5.316,
2005-10,5.381,
2006-01,5.381,
2006-04,5.637,
2006-07,5.728,
2006-10,5.824,
2007-01,5.763,
2007-04,5.856,
2007-07,5.971,
2007-10,6.050,
2008-01,6.056,
2008-04,5.941,
2008-07,6.094,
2008-10,6.156,
2009-01,6.094,
2009-04,6.233,
2009-07,6.506,
2009-10,6.688,
2010-01,7.398,
2010-04,7.865,
2010-07,8.199,
2010-10,7.721,
2011-01,7.716,
2011-04,7.828,
2011-07,8.051,
2011-10,8.240,
2012-01,8.318,
2012-04,8.465,
2012-07,8.652,
2012-10,8.797,
2013-01,8.843,
2013-04,8.973,
2013-07,9.131,
2013-10,9.333,
2014-01,9.347,
2014-04,9.429,
2014-07,9.625,
