"",BBK01.OEAF21V,BBK01.OEAF21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:36,
2002-01,2.007,
2002-04,1.964,
2002-07,1.998,
2002-10,2.151,
2003-01,2.143,
2003-04,1.121,
2003-07,1.138,
2003-10,1.142,
2004-01,1.004,
2004-04,1.037,
2004-07,1.056,
2004-10,1.051,
2005-01,1.259,
2005-04,1.246,
2005-07,1.353,
2005-10,1.326,
2006-01,1.314,
2006-04,1.335,
2006-07,1.343,
2006-10,1.383,
2007-01,1.403,
2007-04,1.439,
2007-07,1.469,
2007-10,1.285,
2008-01,1.282,
2008-04,1.256,
2008-07,1.246,
2008-10,1.435,
2009-01,1.465,
2009-04,1.481,
2009-07,1.489,
2009-10,1.515,
2010-01,1.117,
2010-04,1.452,
2010-07,1.435,
2010-10,1.390,
2011-01,1.352,
2011-04,1.333,
2011-07,1.345,
2011-10,1.269,
2012-01,1.245,
2012-04,1.239,
2012-07,1.351,
2012-10,1.326,
2013-01,1.315,
2013-04,1.327,
2013-07,1.344,
2013-10,1.332,
2014-01,1.321,
2014-04,1.138,
2014-07,1.145,
