"",BBK01.OEAA40K,BBK01.OEAA40K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:09,
2002-01,0.171,
2002-04,0.172,
2002-07,0.166,
2002-10,0.161,
2003-01,0.157,
2003-04,0.132,
2003-07,0.133,
2003-10,0.124,
2004-01,0.203,
2004-04,0.233,
2004-07,0.233,
2004-10,0.229,
2005-01,0.226,
2005-04,0.219,
2005-07,0.216,
2005-10,0.209,
2006-01,0.173,
2006-04,0.165,
2006-07,0.159,
2006-10,0.150,
2007-01,0.118,
2007-04,0.119,
2007-07,0.110,
2007-10,0.103,
2008-01,0.090,
2008-04,0.088,
2008-07,0.092,
2008-10,0.082,
2009-01,0.080,
2009-04,0.077,
2009-07,0.071,
2009-10,0.066,
2010-01,0.064,
2010-04,0.062,
2010-07,0.060,
2010-10,0.056,
2011-01,0.054,
2011-04,0.052,
2011-07,0.049,
2011-10,0.046,
2012-01,0.043,
2012-04,0.042,
2012-07,0.038,
2012-10,0.036,
2013-01,0.031,
2013-04,0.033,
2013-07,0.031,
2013-10,0.030,
2014-01,0.028,
2014-04,0.027,
2014-07,0.027,
