"",BBK01.OEBO02M,BBK01.OEBO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:01,
2002-01,1.433,
2002-04,1.148,
2002-07,0.990,
2002-10,1.131,
2003-01,1.262,
2003-04,0.960,
2003-07,1.107,
2003-10,0.905,
2004-01,1.093,
2004-04,0.873,
2004-07,1.140,
2004-10,1.007,
2005-01,1.535,
2005-04,1.306,
2005-07,1.205,
2005-10,1.233,
2006-01,1.629,
2006-04,1.425,
2006-07,1.353,
2006-10,1.574,
2007-01,2.275,
2007-04,1.546,
2007-07,1.359,
2007-10,1.650,
2008-01,1.653,
2008-04,1.662,
2008-07,1.317,
2008-10,2.216,
2009-01,1.797,
2009-04,1.731,
2009-07,2.098,
2009-10,1.623,
2010-01,1.973,
2010-04,1.374,
2010-07,1.013,
2010-10,1.494,
2011-01,1.908,
2011-04,1.220,
2011-07,1.234,
2011-10,1.217,
2012-01,1.900,
2012-04,1.022,
2012-07,1.007,
2012-10,1.070,
2013-01,1.262,
2013-04,0.909,
2013-07,0.792,
2013-10,0.784,
2014-01,0.835,
2014-04,0.604,
2014-07,1.181,
