"",BBK01.OEAF32L,BBK01.OEAF32L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:22,
2002-01,72.323,
2002-04,74.376,
2002-07,75.742,
2002-10,75.812,
2003-01,76.903,
2003-04,80.824,
2003-07,85.527,
2003-10,88.727,
2004-01,88.763,
2004-04,90.780,
2004-07,91.600,
2004-10,92.592,
2005-01,94.213,
2005-04,95.514,
2005-07,98.156,
2005-10,100.222,
2006-01,101.371,
2006-04,98.746,
2006-07,103.327,
2006-10,104.350,
2007-01,101.777,
2007-04,103.801,
2007-07,110.896,
2007-10,115.104,
2008-01,115.399,
2008-04,114.202,
2008-07,118.654,
2008-10,118.072,
2009-01,117.328,
2009-04,119.769,
2009-07,120.593,
2009-10,121.336,
2010-01,120.921,
2010-04,121.608,
2010-07,122.650,
2010-10,123.455,
2011-01,122.965,
2011-04,124.103,
2011-07,125.057,
2011-10,125.910,
2012-01,125.916,
2012-04,126.891,
2012-07,128.394,
2012-10,128.844,
2013-01,128.891,
2013-04,129.180,
2013-07,130.067,
2013-10,130.719,
2014-01,130.865,
2014-04,131.971,
2014-07,133.111,
