"",BBK01.OEAN03N,BBK01.OEAN03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:03,
2002-01,33.377,
2002-04,32.262,
2002-07,31.556,
2002-10,32.727,
2003-01,32.493,
2003-04,32.282,
2003-07,32.294,
2003-10,31.768,
2004-01,30.885,
2004-04,30.600,
2004-07,30.132,
2004-10,27.648,
2005-01,28.346,
2005-04,28.256,
2005-07,28.747,
2005-10,28.335,
2006-01,27.648,
2006-04,26.946,
2006-07,25.925,
2006-10,25.641,
2007-01,24.678,
2007-04,24.167,
2007-07,23.164,
2007-10,23.585,
2008-01,22.583,
2008-04,22.014,
2008-07,21.305,
2008-10,21.197,
2009-01,21.707,
2009-04,22.719,
2009-07,23.447,
2009-10,25.109,
2010-01,25.688,
2010-04,26.213,
2010-07,26.370,
2010-10,26.844,
2011-01,26.866,
2011-04,26.906,
2011-07,26.555,
2011-10,26.590,
2012-01,26.934,
2012-04,27.150,
2012-07,27.819,
2012-10,29.002,
2013-01,29.965,
2013-04,30.316,
2013-07,30.569,
2013-10,31.330,
2014-01,32.112,
2014-04,32.639,
2014-07,33.036,
