"",BBSF2.M.1.S.00000.TOT01.I.F.INV.IE.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.IE.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:07,
2009-09,3895,
2009-10,3892,
2009-11,4007,
2009-12,4367,
2010-01,4472,
2010-02,4527,
2010-03,4877,
2010-04,4928,
2010-05,5174,
2010-06,5275,
2010-07,5579,
2010-08,6003,
2010-09,6401,
2010-10,6647,
2010-11,6991,
2010-12,7223,
2011-01,7784,
2011-02,7912,
2011-03,7983,
2011-04,8361,
2011-05,8691,
2011-06,8768,
2011-07,8860,
2011-08,8144,
2011-09,8165,
2011-10,8204,
2011-11,8149,
2011-12,7803,
2012-01,8764,
2012-02,9204,
2012-03,9750,
2012-04,10012,
2012-05,10048,
2012-06,10441,
2012-07,10914,
2012-08,11242,
2012-09,11679,
2012-10,11666,
2012-11,11932,
2012-12,13160,
2013-01,13476,
2013-02,14257,
2013-03,15248,
2013-04,15502,
2013-05,15068,
2013-06,13732,
2013-07,14846,
2013-08,14358,
2013-09,14984,
2013-10,16108,
2013-11,15961,
2013-12,16110,
2014-01,15968,
2014-02,16456,
2014-03,16873,
2014-04,17681,
2014-05,18092,
2014-06,18773,
2014-07,19133,
2014-08,20030,
2014-09,20235,
2014-10,19968,
2014-11,20787,
