"",BBK01.CEBOX0,BBK01.CEBOX0_FLAGS
"",Other deposits debtor: Other financial intermediaries                     creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:23,
1997-10,0.5,
1998-01,0.6,
1998-04,0.3,
1998-07,0.3,
1998-10,0.4,
1999-01,0.3,
1999-04,0.6,
1999-07,0.3,
1999-10,0.3,
2000-01,0.4,
2000-04,0.7,
2000-07,0.4,
2000-10,0.5,
2001-01,0.6,
2001-04,0.5,
2001-07,0.5,
2001-10,0.5,
2002-01,0.7,
2002-04,0.4,
2002-07,0.4,
2002-10,0.4,
2003-01,0.3,
2003-04,1.1,
2003-07,1.0,
2003-10,1.0,
2004-01,1.0,
2004-04,1.0,
2004-07,0.9,
2004-10,0.9,
2005-01,0.8,
2005-04,0.7,
2005-07,0.9,
2005-10,0.9,
2006-01,1.0,
2006-04,0.9,
2006-07,0.9,
2006-10,0.9,
2007-01,1.3,
2007-04,1.3,
2007-07,0.9,
2007-10,0.9,
2008-01,1.0,
2008-04,0.9,
2008-07,0.9,
2008-10,0.6,
2009-01,0.7,
2009-04,0.7,
2009-07,0.7,
2009-10,0.5,
2010-01,0.6,
2010-04,0.6,
2010-07,1.0,
2010-10,1.0,
2011-01,1.2,
2011-04,1.1,
2011-07,1.2,
2011-10,1.2,
2012-01,1.6,
2012-04,1.6,
2012-07,1.3,
2012-10,1.2,
2013-01,1.1,
2013-04,1.1,
2013-07,1.2,
2013-10,1.7,
2014-01,1.5,
