"",BBK01.OECM01T,BBK01.OECM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:26,
2002-01,0.260,
2002-04,0.253,
2002-07,0.238,
2002-10,0.196,
2003-01,0.197,
2003-04,0.185,
2003-07,0.199,
2003-10,0.184,
2004-01,0.124,
2004-04,0.169,
2004-07,0.169,
2004-10,0.187,
2005-01,0.335,
2005-04,0.306,
2005-07,0.342,
2005-10,0.305,
2006-01,0.281,
2006-04,0.264,
2006-07,0.220,
2006-10,0.263,
2007-01,0.233,
2007-04,0.290,
2007-07,0.323,
2007-10,0.360,
2008-01,0.343,
2008-04,0.375,
2008-07,0.332,
2008-10,0.387,
2009-01,0.293,
2009-04,0.282,
2009-07,0.371,
2009-10,0.288,
2010-01,0.240,
2010-04,0.359,
2010-07,0.325,
2010-10,0.454,
2011-01,0.341,
2011-04,0.322,
2011-07,0.495,
2011-10,0.507,
2012-01,0.202,
2012-04,0.170,
2012-07,0.228,
2012-10,0.235,
2013-01,0.158,
2013-04,0.227,
2013-07,0.196,
2013-10,0.177,
2014-01,0.224,
2014-04,0.216,
2014-07,0.307,
