"",BBK01.OEAH10L,BBK01.OEAH10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:07,
2002-01,8.391,
2002-04,8.425,
2002-07,8.393,
2002-10,8.412,
2003-01,8.343,
2003-04,8.045,
2003-07,7.854,
2003-10,7.978,
2004-01,8.159,
2004-04,8.512,
2004-07,8.502,
2004-10,8.373,
2005-01,8.155,
2005-04,7.973,
2005-07,7.769,
2005-10,7.575,
2006-01,7.434,
2006-04,7.315,
2006-07,7.309,
2006-10,10.095,
2007-01,9.809,
2007-04,10.126,
2007-07,10.714,
2007-10,10.995,
2008-01,11.702,
2008-04,13.349,
2008-07,13.958,
2008-10,13.818,
2009-01,13.349,
2009-04,13.085,
2009-07,14.479,
2009-10,15.088,
2010-01,15.759,
2010-04,16.468,
2010-07,15.953,
2010-10,16.141,
2011-01,15.907,
2011-04,16.131,
2011-07,16.608,
2011-10,16.822,
2012-01,16.662,
2012-04,16.889,
2012-07,16.770,
2012-10,16.783,
2013-01,16.646,
2013-04,16.262,
2013-07,15.921,
2013-10,15.863,
2014-01,14.223,
2014-04,14.263,
2014-07,14.761,
