"",BBK01.OEYB07G,BBK01.OEYB07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:24,
2002-01,14.190,
2002-04,13.534,
2002-07,13.877,
2002-10,13.589,
2003-01,13.354,
2003-04,14.807,
2003-07,15.085,
2003-10,15.053,
2004-01,15.704,
2004-04,15.950,
2004-07,15.664,
2004-10,14.339,
2005-01,14.737,
2005-04,14.239,
2005-07,17.964,
2005-10,17.198,
2006-01,16.985,
2006-04,16.265,
2006-07,16.819,
2006-10,16.652,
2007-01,16.493,
2007-04,15.799,
2007-07,14.343,
2007-10,13.899,
2008-01,12.878,
2008-04,12.776,
2008-07,13.360,
2008-10,13.408,
2009-01,15.729,
2009-04,15.767,
2009-07,17.635,
2009-10,16.627,
2010-01,16.062,
2010-04,15.656,
2010-07,16.915,
2010-10,16.982,
2011-01,17.333,
2011-04,16.483,
2011-07,16.587,
2011-10,16.890,
2012-01,16.216,
2012-04,15.959,
2012-07,15.165,
2012-10,15.551,
2013-01,15.008,
2013-04,14.326,
2013-07,13.017,
2013-10,12.773,
2014-01,12.247,
2014-04,12.027,
2014-07,11.885,
