"",BBK01.OEAL06Q,BBK01.OEAL06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:31,
2002-01,1.473,
2002-04,1.460,
2002-07,1.438,
2002-10,1.398,
2003-01,1.357,
2003-04,1.230,
2003-07,1.289,
2003-10,1.295,
2004-01,1.281,
2004-04,1.277,
2004-07,1.262,
2004-10,1.234,
2005-01,1.162,
2005-04,1.138,
2005-07,1.092,
2005-10,1.072,
2006-01,1.089,
2006-04,1.094,
2006-07,1.101,
2006-10,1.133,
2007-01,1.129,
2007-04,1.130,
2007-07,1.150,
2007-10,1.188,
2008-01,1.195,
2008-04,1.212,
2008-07,1.274,
2008-10,1.306,
2009-01,1.259,
2009-04,1.174,
2009-07,1.077,
2009-10,0.981,
2010-01,0.915,
2010-04,0.951,
2010-07,0.985,
2010-10,0.975,
2011-01,0.982,
2011-04,0.997,
2011-07,1.003,
2011-10,0.992,
2012-01,0.969,
2012-04,0.946,
2012-07,0.920,
2012-10,0.851,
2013-01,0.770,
2013-04,0.706,
2013-07,0.660,
2013-10,0.629,
2014-01,0.596,
2014-04,0.558,
2014-07,0.506,
