"",BBK01.OECB05J,BBK01.OECB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:09,
2002-01,2.520,
2002-04,2.613,
2002-07,2.533,
2002-10,2.430,
2003-01,2.415,
2003-04,2.426,
2003-07,2.388,
2003-10,2.108,
2004-01,2.098,
2004-04,2.128,
2004-07,2.024,
2004-10,1.928,
2005-01,2.656,
2005-04,2.644,
2005-07,2.643,
2005-10,2.544,
2006-01,2.569,
2006-04,2.567,
2006-07,2.493,
2006-10,2.357,
2007-01,2.346,
2007-04,2.414,
2007-07,2.492,
2007-10,2.220,
2008-01,2.223,
2008-04,2.272,
2008-07,2.283,
2008-10,2.214,
2009-01,2.203,
2009-04,2.241,
2009-07,2.197,
2009-10,2.093,
2010-01,2.106,
2010-04,2.163,
2010-07,2.113,
2010-10,2.080,
2011-01,2.168,
2011-04,2.232,
2011-07,2.196,
2011-10,2.197,
2012-01,2.193,
2012-04,3.099,
2012-07,3.274,
2012-10,2.387,
2013-01,2.663,
2013-04,2.396,
2013-07,2.418,
2013-10,2.419,
2014-01,2.414,
2014-04,2.398,
2014-07,2.359,
