"",BBK01.OEYB15N,BBK01.OEYB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:31,
2002-01,0.105,
2002-04,0.091,
2002-07,0.086,
2002-10,0.090,
2003-01,0.323,
2003-04,0.295,
2003-07,0.286,
2003-10,0.085,
2004-01,0.092,
2004-04,0.091,
2004-07,0.086,
2004-10,0.085,
2005-01,0.088,
2005-04,0.090,
2005-07,0.043,
2005-10,0.037,
2006-01,0.038,
2006-04,0.043,
2006-07,0.046,
2006-10,0.042,
2007-01,0.041,
2007-04,0.051,
2007-07,0.054,
2007-10,0.051,
2008-01,0.053,
2008-04,0.053,
2008-07,0.048,
2008-10,0.052,
2009-01,0.048,
2009-04,0.048,
2009-07,0.055,
2009-10,0.055,
2010-01,0.056,
2010-04,0.063,
2010-07,0.062,
2010-10,0.057,
2011-01,0.057,
2011-04,0.063,
2011-07,0.057,
2011-10,0.057,
2012-01,0.056,
2012-04,0.067,
2012-07,0.069,
2012-10,0.067,
2013-01,0.072,
2013-04,0.073,
2013-07,0.072,
2013-10,0.074,
2014-01,0.075,
2014-04,0.071,
2014-07,0.079,
