"",BBK01.OELB03O,BBK01.OELB03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:28,
2002-01,2.393,
2002-04,2.335,
2002-07,2.298,
2002-10,2.238,
2003-01,2.166,
2003-04,2.121,
2003-07,2.057,
2003-10,2.011,
2004-01,1.949,
2004-04,1.926,
2004-07,1.897,
2004-10,1.870,
2005-01,1.807,
2005-04,1.770,
2005-07,1.729,
2005-10,1.690,
2006-01,1.650,
2006-04,1.640,
2006-07,1.613,
2006-10,1.583,
2007-01,1.569,
2007-04,1.551,
2007-07,1.545,
2007-10,1.486,
2008-01,1.453,
2008-04,1.430,
2008-07,1.427,
2008-10,1.408,
2009-01,1.386,
2009-04,1.377,
2009-07,1.417,
2009-10,1.402,
2010-01,1.401,
2010-04,1.390,
2010-07,1.410,
2010-10,1.401,
2011-01,1.405,
2011-04,1.407,
2011-07,1.460,
2011-10,1.488,
2012-01,1.522,
2012-04,1.626,
2012-07,1.721,
2012-10,1.723,
2013-01,1.704,
2013-04,1.701,
2013-07,1.768,
2013-10,1.787,
2014-01,1.816,
2014-04,1.859,
2014-07,1.895,
