"",BBK01.OELB06K,BBK01.OELB06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:48,
2002-01,0.431,
2002-04,0.460,
2002-07,0.443,
2002-10,0.483,
2003-01,0.438,
2003-04,0.426,
2003-07,0.388,
2003-10,0.367,
2004-01,0.338,
2004-04,0.348,
2004-07,0.360,
2004-10,0.352,
2005-01,0.341,
2005-04,0.323,
2005-07,0.341,
2005-10,0.329,
2006-01,0.337,
2006-04,0.376,
2006-07,0.389,
2006-10,0.378,
2007-01,0.354,
2007-04,0.369,
2007-07,0.336,
2007-10,0.363,
2008-01,0.352,
2008-04,0.407,
2008-07,0.377,
2008-10,0.389,
2009-01,0.407,
2009-04,0.383,
2009-07,0.381,
2009-10,0.400,
2010-01,0.355,
2010-04,0.428,
2010-07,0.422,
2010-10,0.456,
2011-01,0.413,
2011-04,0.401,
2011-07,0.413,
2011-10,0.426,
2012-01,0.412,
2012-04,0.442,
2012-07,0.457,
2012-10,0.464,
2013-01,0.449,
2013-04,0.435,
2013-07,0.432,
2013-10,0.464,
2014-01,0.423,
2014-04,0.405,
2014-07,0.438,
