"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.FR.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.FR.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:00,
2009-09,73125,
2009-10,71451,
2009-11,72310,
2009-12,74316,
2010-01,75234,
2010-02,75631,
2010-03,77986,
2010-04,79310,
2010-05,78808,
2010-06,80190,
2010-07,81530,
2010-08,83522,
2010-09,84417,
2010-10,85847,
2010-11,84876,
2010-12,84728,
2011-01,84278,
2011-02,85334,
2011-03,84818,
2011-04,85655,
2011-05,86163,
2011-06,85909,
2011-07,87175,
2011-08,86175,
2011-09,84864,
2011-10,85991,
2011-11,83339,
2011-12,86885,
2012-01,89265,
2012-02,93702,
2012-03,95329,
2012-04,95120,
2012-05,97607,
2012-06,97987,
2012-07,101319,
2012-08,102844,
2012-09,102266,
2012-10,103296,
2012-11,104223,
2012-12,105119,
2013-01,104612,
2013-02,105182,
2013-03,106873,
2013-04,109323,
2013-05,108608,
2013-06,104501,
2013-07,107282,
2013-08,106504,
2013-09,107586,
2013-10,109240,
2013-11,109748,
2013-12,107853,
2014-01,108858,
2014-02,113815,
2014-03,115691,
2014-04,116896,
2014-05,119831,
2014-06,119955,
2014-07,119797,
2014-08,120970,
2014-09,121478,
2014-10,119746,
2014-11,121615,
