"",BBK01.OEAE24H,BBK01.OEAE24H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:12,
2002-01,1.767,
2002-04,1.495,
2002-07,1.454,
2002-10,1.393,
2003-01,1.348,
2003-04,1.522,
2003-07,1.469,
2003-10,1.389,
2004-01,1.351,
2004-04,1.347,
2004-07,1.295,
2004-10,1.226,
2005-01,1.256,
2005-04,1.471,
2005-07,1.318,
2005-10,1.451,
2006-01,1.330,
2006-04,1.343,
2006-07,1.308,
2006-10,1.259,
2007-01,1.281,
2007-04,1.325,
2007-07,1.322,
2007-10,1.393,
2008-01,1.355,
2008-04,1.380,
2008-07,1.555,
2008-10,1.521,
2009-01,1.576,
2009-04,1.500,
2009-07,1.569,
2009-10,1.452,
2010-01,1.294,
2010-04,1.473,
2010-07,1.368,
2010-10,1.426,
2011-01,1.512,
2011-04,1.526,
2011-07,3.109,
2011-10,3.178,
2012-01,3.167,
2012-04,3.200,
2012-07,3.180,
2012-10,3.173,
2013-01,3.168,
2013-04,3.144,
2013-07,3.060,
2013-10,2.997,
2014-01,2.901,
2014-04,3.472,
2014-07,3.696,
