"",BBK01.OEAB02S,BBK01.OEAB02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:28,
2002-01,2.371,
2002-04,2.379,
2002-07,2.486,
2002-10,2.323,
2003-01,2.150,
2003-04,2.213,
2003-07,2.208,
2003-10,2.198,
2004-01,2.089,
2004-04,2.119,
2004-07,2.136,
2004-10,2.110,
2005-01,2.198,
2005-04,2.014,
2005-07,2.102,
2005-10,1.956,
2006-01,1.986,
2006-04,1.994,
2006-07,1.974,
2006-10,1.776,
2007-01,1.904,
2007-04,1.896,
2007-07,1.757,
2007-10,1.795,
2008-01,1.851,
2008-04,1.765,
2008-07,1.689,
2008-10,1.646,
2009-01,1.661,
2009-04,1.705,
2009-07,1.746,
2009-10,1.611,
2010-01,1.678,
2010-04,1.647,
2010-07,1.662,
2010-10,1.607,
2011-01,1.612,
2011-04,1.634,
2011-07,1.589,
2011-10,1.631,
2012-01,1.635,
2012-04,1.570,
2012-07,1.483,
2012-10,1.430,
2013-01,1.432,
2013-04,1.478,
2013-07,1.458,
2013-10,1.433,
2014-01,1.446,
2014-04,1.519,
2014-07,1.509,
