"",BBDE1.M.DE.Y.BAA1.P2XF40000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.P2XF40000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Finishing trades / calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:32,
2010-01,98.5,
2010-02,98.0,
2010-03,98.8,
2010-04,100.6,
2010-05,103.1,
2010-06,102.2,
2010-07,99.1,
2010-08,99.2,
2010-09,100.3,
2010-10,97.0,
2010-11,97.9,
2010-12,95.7,
2011-01,99.8,
2011-02,99.9,
2011-03,97.3,
2011-04,101.4,
2011-05,102.2,
2011-06,101.5,
2011-07,102.4,
2011-08,100.7,
2011-09,101.7,
2011-10,104.7,
2011-11,105.2,
2011-12,104.4,
2012-01,101.9,
2012-02,99.2,
2012-03,107.5,
2012-04,102.0,
2012-05,100.5,
2012-06,101.4,
2012-07,102.7,
2012-08,100.0,
2012-09,100.7,
2012-10,99.2,
2012-11,96.6,
2012-12,98.3,
2013-01,102.2,
2013-02,99.4,
2013-03,97.2,
2013-04,97.5,
2013-05,96.0,
2013-06,96.0,
2013-07,99.7,
2013-08,99.1,
2013-09,97.3,
2013-10,97.4,
2013-11,97.3,
2013-12,99.6,
2014-01,102.8,
2014-02,104.3,
2014-03,99.9,
2014-04,101.6,
2014-05,97.1,
2014-06,96.5,
2014-07,98.4,
2014-08,97.8,
2014-09,94.1,
2014-10,96.0,Provisional value
2014-11,95.4,Provisional value
2014-12,88.7,Provisional value
