"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.NMFIS.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.Z5.NMFIS.000000.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Non-MFIs (incl. General Government),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:53,
2009-09,86042,
2009-10,84884,
2009-11,86194,
2009-12,92932,
2010-01,88823,
2010-02,90134,
2010-03,97365,
2010-04,104620,
2010-05,100028,
2010-06,93184,
2010-07,94277,
2010-08,92268,
2010-09,96758,
2010-10,101812,
2010-11,105487,
2010-12,111999,
2011-01,111072,
2011-02,112076,
2011-03,109837,
2011-04,112577,
2011-05,112549,
2011-06,110258,
2011-07,111574,
2011-08,95233,
2011-09,90841,
2011-10,99556,
2011-11,97489,
2011-12,98863,
2012-01,104567,
2012-02,108353,
2012-03,108182,
2012-04,103694,
2012-05,99425,
2012-06,101262,
2012-07,108384,
2012-08,109376,
2012-09,111071,
2012-10,110189,
2012-11,111360,
2012-12,113861,
2013-01,116363,
2013-02,118776,
2013-03,121885,
2013-04,121787,
2013-05,124232,
2013-06,118441,
2013-07,123628,
2013-08,121858,
2013-09,126902,
2013-10,131799,
2013-11,135218,
2013-12,135931,
2014-01,131271,
2014-02,136220,
2014-03,135096,
2014-04,136223,
2014-05,140063,
2014-06,140925,
2014-07,137956,
2014-08,140311,
2014-09,137550,
2014-10,135802,
2014-11,139529,
