"",BBK01.OEXI04N,BBK01.OEXI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:50,
2002-01,13.620,
2002-04,13.284,
2002-07,13.137,
2002-10,13.381,
2003-01,12.498,
2003-04,12.504,
2003-07,10.761,
2003-10,11.150,
2004-01,9.786,
2004-04,9.327,
2004-07,9.253,
2004-10,6.476,
2005-01,6.570,
2005-04,7.374,
2005-07,7.413,
2005-10,7.397,
2006-01,7.361,
2006-04,7.664,
2006-07,8.721,
2006-10,8.712,
2007-01,9.483,
2007-04,9.487,
2007-07,12.165,
2007-10,12.585,
2008-01,13.374,
2008-04,14.035,
2008-07,15.095,
2008-10,15.583,
2009-01,13.451,
2009-04,12.352,
2009-07,11.242,
2009-10,11.281,
2010-01,10.903,
2010-04,11.642,
2010-07,11.229,
2010-10,11.167,
2011-01,12.020,
2011-04,12.226,
2011-07,13.388,
2011-10,12.553,
2012-01,12.485,
2012-04,12.515,
2012-07,11.944,
2012-10,14.136,
2013-01,14.166,
2013-04,13.464,
2013-07,14.082,
2013-10,14.428,
2014-01,14.216,
2014-04,14.417,
2014-07,14.369,
