"",BBK01.OXA7A1,BBK01.OXA7A1_FLAGS
"",Loans to non-financial corporations domiciled in other euro-area member states with an original maturity of more than one year and with a remaining maturity up to and including one year  -  All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:19,
2010-06,8.425,
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,6.854,
2010-10,-,Nothing exists
2010-11,-,Nothing exists
2010-12,7.099,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,9.245,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,9.208,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,11.077,
2011-10,-,Nothing exists
2011-11,-,Nothing exists
2011-12,10.314,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,11.089,
2012-04,-,Nothing exists
2012-05,-,Nothing exists
2012-06,13.615,
2012-07,-,Nothing exists
2012-08,-,Nothing exists
2012-09,13.861,
2012-10,-,Nothing exists
2012-11,-,Nothing exists
2012-12,14.146,
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,14.443,
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,13.929,
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,13.757,
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,11.625,
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,9.809,
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,9.426,
2014-07,-,Nothing exists
2014-08,-,Nothing exists
2014-09,9.510,
2014-10,-,Nothing exists
2014-11,-,Nothing exists
2014-12,10.109,Provisional value
