"",BBNZ1.Q.DE.N.I.0158.A,BBNZ1.Q.DE.N.I.0158.A_FLAGS
"",Germany / National accounts / Use of GDP / Other investment / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:41,
1991-01,85.13,
1991-04,85.14,
1991-07,85.13,
1991-10,85.14,
1992-01,86.09,
1992-04,86.56,
1992-07,87.15,
1992-10,88.10,
1993-01,87.71,
1993-04,87.79,
1993-07,87.99,
1993-10,89.60,
1994-01,88.74,
1994-04,88.91,
1994-07,89.23,
1994-10,90.61,
1995-01,89.85,
1995-04,89.82,
1995-07,90.15,
1995-10,91.50,
1996-01,90.83,
1996-04,90.98,
1996-07,91.23,
1996-10,92.20,
1997-01,91.49,
1997-04,91.36,
1997-07,91.51,
1997-10,92.71,
1998-01,91.49,
1998-04,91.37,
1998-07,91.55,
1998-10,92.68,
1999-01,91.26,
1999-04,91.43,
1999-07,91.77,
1999-10,92.98,
2000-01,92.13,
2000-04,92.51,
2000-07,92.96,
2000-10,93.71,
2001-01,93.44,
2001-04,93.34,
2001-07,93.51,
2001-10,94.59,
2002-01,94.17,
2002-04,94.04,
2002-07,94.15,
2002-10,95.09,
2003-01,94.47,
2003-04,94.47,
2003-07,94.98,
2003-10,95.83,
2004-01,95.25,
2004-04,95.49,
2004-07,95.67,
2004-10,96.51,
2005-01,96.09,
2005-04,96.00,
2005-07,96.16,
2005-10,96.98,
2006-01,96.59,
2006-04,96.61,
2006-07,96.72,
2006-10,97.68,
2007-01,97.31,
2007-04,97.24,
2007-07,97.37,
2007-10,98.26,
2008-01,98.52,
2008-04,98.83,
2008-07,98.25,
2008-10,98.69,
2009-01,98.83,
2009-04,98.44,
2009-07,98.29,
2009-10,99.63,
2010-01,99.41,
2010-04,99.84,
2010-07,99.83,
2010-10,100.85,
2011-01,100.99,
2011-04,101.15,
2011-07,101.19,
2011-10,102.39,
2012-01,103.05,
2012-04,103.38,
2012-07,103.33,
2012-10,104.24,
2013-01,105.16,
2013-04,105.35,
2013-07,105.40,
2013-10,106.45,
2014-01,107.04,
2014-04,107.56,
2014-07,107.60,
2014-10,108.89,
