"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.GB.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.GB.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / United Kingdom,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:25,
2009-09,4622,
2009-10,4633,
2009-11,4530,
2009-12,4490,
2010-01,4587,
2010-02,4651,
2010-03,4629,
2010-04,4730,
2010-05,4582,
2010-06,4676,
2010-07,4771,
2010-08,4935,
2010-09,5293,
2010-10,5272,
2010-11,5332,
2010-12,5266,
2011-01,5266,
2011-02,5250,
2011-03,5267,
2011-04,5242,
2011-05,5377,
2011-06,5368,
2011-07,5253,
2011-08,5154,
2011-09,5041,
2011-10,4386,
2011-11,4835,
2011-12,4883,
2012-01,5061,
2012-02,5282,
2012-03,5317,
2012-04,5347,
2012-05,5343,
2012-06,5196,
2012-07,5365,
2012-08,5276,
2012-09,5200,
2012-10,4989,
2012-11,4783,
2012-12,4847,
2013-01,4558,
2013-02,4553,
2013-03,4626,
2013-04,4503,
2013-05,4346,
2013-06,4176,
2013-07,4390,
2013-08,4375,
2013-09,4451,
2013-10,4338,
2013-11,4404,
2013-12,4298,
2014-01,4295,
2014-02,4426,
2014-03,4428,
2014-04,4391,
2014-05,4500,
2014-06,4737,
2014-07,4686,
2014-08,4942,
2014-09,5044,
2014-10,5139,
2014-11,5486,
