"",BBFN1.M.DE.N.1.A.CH.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,0.919,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,0.860,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,1.171,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,1.120,
1982-10,1.111,
1982-11,1.144,
1982-12,1.310,
1983-01,1.232,
1983-02,1.182,
1983-03,1.231,
1983-04,1.244,
1983-05,1.250,
1983-06,1.175,
1983-07,1.164,
1983-08,1.174,
1983-09,1.173,
1983-10,1.197,
1983-11,1.140,
1983-12,1.286,
1984-01,1.180,
1984-02,1.137,
1984-03,1.129,
1984-04,1.127,
1984-05,1.173,
1984-06,1.181,
1984-07,1.189,
1984-08,1.184,
1984-09,1.145,
1984-10,1.148,
1984-11,1.197,
1984-12,1.529,
1985-01,1.250,
1985-02,1.207,
1985-03,1.211,
1985-04,1.273,
1985-05,1.265,
1985-06,1.172,
1985-07,1.217,
1985-08,1.180,
1985-09,1.190,
1985-10,1.099,
1985-11,1.113,
1985-12,1.405,
1986-01,1.154,
1986-02,1.130,
1986-03,1.168,
1986-04,1.277,
1986-05,1.453,
1986-06,1.583,
1986-07,1.512,
1986-08,1.596,
1986-09,1.608,
1986-10,1.594,
1986-11,1.634,
1986-12,1.709,
1987-01,1.537,
1987-02,1.406,
1987-03,1.458,
1987-04,1.465,
1987-05,1.456,
1987-06,1.371,
1987-07,1.456,
1987-08,1.370,
1987-09,1.401,
1987-10,1.469,
1987-11,1.485,
1987-12,1.377,
1988-01,1.493,
1988-02,1.617,
1988-03,1.788,
1988-04,1.676,
1988-05,1.850,
1988-06,1.775,
1988-07,1.768,
1988-08,1.719,
1988-09,1.682,
1988-10,1.600,
1988-11,1.694,
1988-12,1.819,
1989-01,1.816,
1989-02,1.883,
1989-03,2.035,
1989-04,2.122,
1989-05,2.300,
1989-06,2.263,
1989-07,2.043,
1989-08,2.247,
1989-09,2.304,
1989-10,2.328,
1989-11,2.341,
1989-12,2.597,
1990-01,2.413,
1990-02,2.358,
1990-03,2.411,
1990-04,2.491,
1990-05,2.548,
1990-06,2.397,
1990-07,2.699,
1990-08,2.543,
1990-09,3.120,
1990-10,3.202,
1990-11,3.244,
1990-12,3.807,
1991-01,3.978,
1991-02,4.112,
1991-03,4.306,
1991-04,4.541,
1991-05,4.384,
1991-06,4.519,
1991-07,4.313,
1991-08,3.716,
1991-09,3.437,
1991-10,3.519,
1991-11,3.537,
1991-12,3.222,
1992-01,3.402,
1992-02,3.467,
1992-03,3.565,
1992-04,3.394,
1992-05,3.249,
1992-06,3.504,
1992-07,3.154,
1992-08,3.226,
1992-09,2.860,
1992-10,2.889,
1992-11,2.809,
1992-12,2.677,
1993-01,2.826,
1993-02,2.763,
1993-03,2.882,
1993-04,3.109,
1993-05,3.249,
1993-06,3.072,
1993-07,3.025,
1993-08,3.099,
1993-09,3.078,
1993-10,3.494,
1993-11,3.388,
1993-12,3.092,
1994-01,3.210,
1994-02,3.460,
1994-03,3.632,
1994-04,3.607,
1994-05,3.479,
1994-06,3.460,
1994-07,3.768,
1994-08,3.503,
1994-09,3.383,
1994-10,3.646,
1994-11,3.475,
1994-12,3.392,
1995-01,3.896,
1995-02,3.518,
1995-03,3.307,
1995-04,3.358,
1995-05,3.423,
1995-06,3.013,
1995-07,3.347,
1995-08,3.317,
1995-09,3.196,
1995-10,3.034,
1995-11,2.946,
1995-12,2.959,
1996-01,3.435,
1996-02,3.217,
1996-03,4.091,
1996-04,3.533,
1996-05,3.323,
1996-06,3.363,
1996-07,2.919,
1996-08,2.553,
1996-09,2.621,
1996-10,2.869,
1996-11,2.664,
1996-12,2.498,
1997-01,2.988,
1997-02,3.100,
1997-03,3.562,
1997-04,3.334,
1997-05,3.115,
1997-06,3.352,
1997-07,3.459,
1997-08,3.673,
1997-09,3.476,
1997-10,3.701,
1997-11,3.751,
1997-12,3.358,
1998-01,3.391,
1998-02,3.347,
1998-03,3.344,
1998-04,4.010,
1998-05,4.347,
1998-06,3.818,
1998-07,4.200,
1998-08,4.449,
1998-09,4.226,
1998-10,4.531,
1998-11,4.611,
1998-12,5.420,
1999-01,5.281,
1999-02,5.416,
1999-03,5.723,
1999-04,5.927,
1999-05,5.968,
1999-06,5.929,
1999-07,6.342,
1999-08,6.624,
1999-09,6.562,
1999-10,6.460,
1999-11,6.291,
1999-12,6.498,
2000-01,6.978,
2000-02,6.871,
2000-03,7.032,
2000-04,6.360,
2000-05,6.276,
2000-06,6.792,
2000-07,6.444,
2000-08,7.006,
2000-09,7.261,
2000-10,7.441,
2000-11,7.247,
2000-12,6.158,
2001-01,6.598,
2001-02,6.533,
2001-03,6.674,
2001-04,6.687,
2001-05,6.601,
2001-06,6.510,
2001-07,6.385,
2001-08,6.521,
2001-09,6.855,
2001-10,7.306,
2001-11,8.185,
2001-12,8.128,
2002-01,7.150,
2002-02,6.838,
2002-03,6.799,
2002-04,7.239,
2002-05,7.520,
2002-06,7.640,
2002-07,7.788,
2002-08,7.722,
2002-09,7.782,
2002-10,8.126,
2002-11,7.871,
2002-12,7.889,
2003-01,8.489,
2003-02,7.888,
2003-03,9.197,
2003-04,9.236,
2003-05,8.933,
2003-06,8.812,
2003-07,8.532,
2003-08,8.041,
2003-09,8.213,
2003-10,8.249,
2003-11,9.060,
2003-12,8.759,
2004-01,9.161,
2004-02,8.968,
2004-03,9.522,
2004-04,9.204,
2004-05,9.147,
2004-06,9.637,
2004-07,9.694,
2004-08,9.966,
2004-09,10.159,
2004-10,9.963,
2004-11,10.092,
2004-12,9.052,
2005-01,9.202,
2005-02,8.597,
2005-03,8.855,
2005-04,9.145,
2005-05,9.428,
2005-06,9.168,
2005-07,8.996,
2005-08,9.221,
2005-09,9.875,
2005-10,10.693,
2005-11,11.929,
2005-12,11.451,
2006-01,10.834,
2006-02,9.750,
2006-03,9.157,
2006-04,10.147,
2006-05,9.793,
2006-06,9.092,
2006-07,10.142,
2006-08,9.987,
2006-09,10.552,
2006-10,11.541,
2006-11,11.169,
2006-12,11.080,
2007-01,10.988,
2007-02,10.878,
2007-03,12.308,
2007-04,11.316,
2007-05,11.439,
2007-06,10.195,
2007-07,10.547,
2007-08,10.398,
2007-09,10.880,
2007-10,11.215,
2007-11,11.148,
2007-12,11.146,
2008-01,11.669,
2008-02,11.037,
2008-03,10.763,
2008-04,11.143,
2008-05,11.674,
2008-06,11.541,
2008-07,12.268,
2008-08,11.272,
2008-09,11.744,
2008-10,12.457,
2008-11,12.382,
2008-12,12.263,
2009-01,11.211,
2009-02,11.665,
2009-03,11.600,
2009-04,12.805,
2009-05,13.007,
2009-06,13.284,
2009-07,12.498,
2009-08,12.486,
2009-09,12.743,
2009-10,12.818,
2009-11,13.222,
2009-12,13.076,
2010-01,13.368,
2010-02,13.654,
2010-03,13.872,
2010-04,14.273,
2010-05,14.127,
2010-06,15.415,
2010-07,14.839,
2010-08,14.709,
2010-09,15.338,
2010-10,15.862,
2010-11,15.964,
2010-12,16.237,
2011-01,15.831,
2011-02,14.754,
2011-03,15.531,
2011-04,15.606,
2011-05,15.868,
2011-06,15.322,
2011-07,15.992,
2011-08,20.290,
2011-09,22.472,
2011-10,23.171,
2011-11,22.750,
2011-12,18.802,
2012-01,18.703,
2012-02,20.300,
2012-03,22.130,
2012-04,22.595,
2012-05,24.325,
2012-06,25.836,
2012-07,26.156,
2012-08,27.231,
2012-09,27.228,
2012-10,25.933,
2012-11,26.048,
2012-12,23.614,
2013-01,25.272,
2013-02,25.675,
2013-03,25.101,
2013-04,27.671,
2013-05,27.250,
2013-06,24.808,
2013-07,24.247,
2013-08,15.729,
2013-09,16.549,
2013-10,14.425,
2013-11,14.658,
2013-12,15.447,
2014-01,15.226,
2014-02,15.499,
2014-03,15.161,
2014-04,18.047,
2014-05,17.656,
2014-06,17.968,
2014-07,18.112,
2014-08,18.361,
2014-09,18.076,
2014-10,18.474,
2014-11,18.050,
2014-12,15.820,
