"",BBEX3.M.CUC.EUR.CA.AC.A01,BBEX3.M.CUC.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Cuba / EUR 1 = CUC ... (middle),
unit,CUC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:53,
2009-03,1.231485,
2009-04,1.208895,
2009-05,1.290745,
2009-06,1.301300,
2009-07,1.305000,
2009-08,1.330005,
2009-09,1.358240,
2009-10,1.370005,
2009-11,1.380005,
2009-12,1.335280,
2010-01,1.293985,
2010-02,1.254725,
2010-03,1.240600,
2010-04,1.221160,
2010-05,1.144585,
2010-06,1.126530,
2010-07,1.210790,
2010-08,1.176160,
2010-09,1.258845,
2010-10,1.287830,
2010-11,1.210975,
2010-12,1.215785,
2011-01,1.267920,
2011-02,1.271250,
2011-03,1.406550,
2011-04,1.483055,
2011-05,1.427355,
2011-06,1.437050,
2011-07,1.428655,
2011-08,1.440850,
2011-09,1.363305,
2011-10,1.415250,
2011-11,1.334140,
2011-12,1.298710,
2012-01,1.310570,
2012-02,1.341275,
2012-03,1.327545,
2012-04,1.324585,
2012-05,1.241900,
2012-06,1.243940,
2012-07,1.225540,
2012-08,1.255865,
2012-09,1.287340,
2012-10,1.297045,
2012-11,1.300290,
2012-12,1.327040,
2013-01,1.355560,
2013-02,1.309345,
2013-03,1.276685,
2013-04,1.308920,
2013-05,1.302855,
2013-06,1.302525,
2013-07,1.327470,
2013-08,1.324325,
2013-09,1.355455,
2013-10,1.377250,
2013-11,1.360595,
2013-12,1.379945,
2014-01,1.358090,
2014-02,1.368255,
2014-03,1.376405,
2014-04,1.382115,
2014-05,1.359915,
2014-06,1.363360,
2014-07,1.337765,
2014-08,1.316150,
2014-09,1.270520,
2014-10,1.261255,
2014-11,1.248970,
2014-12,1.217100,
2015-01,1.132905,
"","General: The ISO code CUC was introduced on 1 March 2009.   Alongside the convertible peso (CUC), which is primarily used by foreigners, there is the Cuban peso (CUP), which is used by residents to purchase their basic needs, among other things.   Foreign currencies can be freely exchanged in Cuba for convertible pesos (CUC), and they enable both residentsand foreigners to purchase items which the government considers to be luxury articles.   In its national accounts, the Cuban government fixes the ratio of convertible peso (CUC) to Cuban peso (CUP) at 1:1. In reality, Cuban pesos can only be exchanged for convertible pesos at a considerable discount.",
"","Source: Calculated on the basis of the buying and selling rates of the Banco Metropolitano, Havana.",
