"",BBK01.OEAD01Q,BBK01.OEAD01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:12,
2002-01,4.397,
2002-04,4.357,
2002-07,4.335,
2002-10,4.174,
2003-01,4.160,
2003-04,4.288,
2003-07,4.427,
2003-10,4.371,
2004-01,4.304,
2004-04,3.790,
2004-07,3.721,
2004-10,3.727,
2005-01,3.735,
2005-04,3.733,
2005-07,3.715,
2005-10,3.694,
2006-01,3.677,
2006-04,3.783,
2006-07,3.987,
2006-10,3.818,
2007-01,4.550,
2007-04,4.528,
2007-07,4.648,
2007-10,4.461,
2008-01,3.340,
2008-04,3.254,
2008-07,3.370,
2008-10,3.349,
2009-01,3.296,
2009-04,3.230,
2009-07,3.209,
2009-10,3.079,
2010-01,3.181,
2010-04,2.996,
2010-07,2.540,
2010-10,2.322,
2011-01,2.277,
2011-04,2.252,
2011-07,2.134,
2011-10,2.175,
2012-01,2.235,
2012-04,2.503,
2012-07,2.480,
2012-10,2.625,
2013-01,2.710,
2013-04,2.399,
2013-07,2.443,
2013-10,2.515,
2014-01,2.521,
2014-04,2.416,
2014-07,2.338,
