"",BBK01.OEAH11N,BBK01.OEAH11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:15,
2002-01,149.834,
2002-04,146.982,
2002-07,146.663,
2002-10,152.065,
2003-01,153.523,
2003-04,152.958,
2003-07,153.067,
2003-10,156.155,
2004-01,156.436,
2004-04,156.022,
2004-07,156.108,
2004-10,122.166,
2005-01,129.338,
2005-04,128.289,
2005-07,127.333,
2005-10,128.033,
2006-01,128.747,
2006-04,128.222,
2006-07,126.683,
2006-10,126.273,
2007-01,124.607,
2007-04,122.263,
2007-07,120.297,
2007-10,120.783,
2008-01,119.116,
2008-04,117.352,
2008-07,114.646,
2008-10,119.277,
2009-01,122.267,
2009-04,125.496,
2009-07,129.557,
2009-10,133.280,
2010-01,135.118,
2010-04,135.708,
2010-07,135.747,
2010-10,138.058,
2011-01,138.801,
2011-04,137.347,
2011-07,135.995,
2011-10,135.606,
2012-01,135.871,
2012-04,135.195,
2012-07,134.878,
2012-10,135.160,
2013-01,133.821,
2013-04,132.885,
2013-07,132.130,
2013-10,132.694,
2014-01,132.278,
2014-04,131.295,
2014-07,131.923,
