"",BBK01.OEAC18V,BBK01.OEAC18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:37,
2002-01,0.060,
2002-04,0.077,
2002-07,0.105,
2002-10,0.069,
2003-01,0.074,
2003-04,0.116,
2003-07,0.166,
2003-10,0.137,
2004-01,0.256,
2004-04,0.176,
2004-07,0.170,
2004-10,0.210,
2005-01,0.254,
2005-04,0.191,
2005-07,0.279,
2005-10,0.197,
2006-01,0.203,
2006-04,0.133,
2006-07,0.230,
2006-10,0.296,
2007-01,0.194,
2007-04,0.176,
2007-07,0.267,
2007-10,0.306,
2008-01,0.364,
2008-04,0.254,
2008-07,0.358,
2008-10,0.249,
2009-01,0.147,
2009-04,0.182,
2009-07,0.211,
2009-10,0.153,
2010-01,0.283,
2010-04,0.353,
2010-07,0.394,
2010-10,0.362,
2011-01,0.234,
2011-04,0.303,
2011-07,0.425,
2011-10,0.493,
2012-01,0.292,
2012-04,0.231,
2012-07,0.191,
2012-10,0.302,
2013-01,0.304,
2013-04,0.205,
2013-07,0.394,
2013-10,0.327,
2014-01,0.152,
2014-04,0.358,
2014-07,0.400,
