"",BBK01.OEAA03G,BBK01.OEAA03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:19,
2002-01,56.593,
2002-04,58.375,
2002-07,59.618,
2002-10,56.735,
2003-01,54.989,
2003-04,58.999,
2003-07,54.215,
2003-10,54.929,
2004-01,54.262,
2004-04,51.968,
2004-07,49.280,
2004-10,51.530,
2005-01,47.825,
2005-04,48.848,
2005-07,45.641,
2005-10,43.471,
2006-01,46.234,
2006-04,47.172,
2006-07,48.812,
2006-10,46.759,
2007-01,49.840,
2007-04,54.644,
2007-07,60.493,
2007-10,67.206,
2008-01,64.827,
2008-04,61.896,
2008-07,63.036,
2008-10,66.048,
2009-01,70.785,
2009-04,69.461,
2009-07,69.736,
2009-10,64.902,
2010-01,67.719,
2010-04,68.672,
2010-07,69.376,
2010-10,64.120,
2011-01,67.662,
2011-04,65.412,
2011-07,64.479,
2011-10,60.167,
2012-01,63.619,
2012-04,66.441,
2012-07,67.798,
2012-10,60.590,
2013-01,63.539,
2013-04,58.328,
2013-07,54.004,
2013-10,48.733,
2014-01,51.818,
2014-04,52.144,
2014-07,50.346,
