"",BBK01.OEYM01P,BBK01.OEYM01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:34,
2002-01,0.182,
2002-04,0.197,
2002-07,0.187,
2002-10,0.234,
2003-01,0.145,
2003-04,0.195,
2003-07,0.220,
2003-10,0.216,
2004-01,0.071,
2004-04,0.071,
2004-07,0.128,
2004-10,0.217,
2005-01,0.140,
2005-04,0.083,
2005-07,0.064,
2005-10,0.058,
2006-01,0.101,
2006-04,0.165,
2006-07,0.170,
2006-10,0.252,
2007-01,0.246,
2007-04,0.246,
2007-07,0.202,
2007-10,0.299,
2008-01,0.285,
2008-04,0.288,
2008-07,0.286,
2008-10,0.316,
2009-01,0.302,
2009-04,0.413,
2009-07,0.411,
2009-10,0.251,
2010-01,0.257,
2010-04,0.292,
2010-07,0.399,
2010-10,0.325,
2011-01,0.344,
2011-04,0.304,
2011-07,0.586,
2011-10,0.306,
2012-01,0.829,
2012-04,0.429,
2012-07,0.420,
2012-10,0.443,
2013-01,0.718,
2013-04,0.781,
2013-07,0.519,
2013-10,0.328,
2014-01,0.418,
2014-04,0.361,
2014-07,0.514,
