"",BBK01.OEHI03G,BBK01.OEHI03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:37,
2002-01,12.635,
2002-04,12.518,
2002-07,12.519,
2002-10,12.830,
2003-01,12.335,
2003-04,11.721,
2003-07,11.314,
2003-10,11.390,
2004-01,10.460,
2004-04,10.216,
2004-07,10.195,
2004-10,10.532,
2005-01,8.898,
2005-04,8.532,
2005-07,8.655,
2005-10,9.481,
2006-01,9.118,
2006-04,9.317,
2006-07,9.592,
2006-10,9.990,
2007-01,10.041,
2007-04,10.370,
2007-07,10.974,
2007-10,12.267,
2008-01,12.646,
2008-04,13.645,
2008-07,14.661,
2008-10,16.347,
2009-01,12.768,
2009-04,10.668,
2009-07,8.947,
2009-10,8.651,
2010-01,7.555,
2010-04,7.650,
2010-07,7.753,
2010-10,8.331,
2011-01,7.884,
2011-04,8.618,
2011-07,9.233,
2011-10,10.153,
2012-01,9.172,
2012-04,8.365,
2012-07,8.268,
2012-10,7.819,
2013-01,7.274,
2013-04,6.558,
2013-07,6.655,
2013-10,6.870,
2014-01,6.900,
2014-04,7.057,
2014-07,6.922,
