"",BBK01.OEAE32L,BBK01.OEAE32L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:16,
2002-01,2.560,
2002-04,2.529,
2002-07,2.507,
2002-10,2.423,
2003-01,2.480,
2003-04,2.350,
2003-07,2.343,
2003-10,2.248,
2004-01,2.192,
2004-04,2.128,
2004-07,2.068,
2004-10,1.957,
2005-01,1.907,
2005-04,1.904,
2005-07,1.889,
2005-10,1.865,
2006-01,1.846,
2006-04,1.790,
2006-07,1.770,
2006-10,1.733,
2007-01,1.704,
2007-04,1.771,
2007-07,1.793,
2007-10,1.773,
2008-01,1.754,
2008-04,1.762,
2008-07,1.750,
2008-10,1.744,
2009-01,1.734,
2009-04,1.727,
2009-07,1.680,
2009-10,1.644,
2010-01,1.578,
2010-04,1.559,
2010-07,1.596,
2010-10,1.567,
2011-01,1.543,
2011-04,1.550,
2011-07,1.523,
2011-10,1.460,
2012-01,1.467,
2012-04,1.422,
2012-07,1.429,
2012-10,1.396,
2013-01,1.376,
2013-04,1.357,
2013-07,1.354,
2013-10,1.317,
2014-01,1.287,
2014-04,1.413,
2014-07,1.420,
